scientific_name,msy_multiple_fishing,fishing_mort_bau,fishing_mort_rb,percent_mort_diff,mort_scenario,simulation_avm,simulation_prm,n_div_k,pred_avm_25,pred_avm_mean,pred_avm_75,pred_prm_25,pred_prm_mean,pred_prm_75
Carcharhinus plumbeus,2,0.10570114759383756,0.10289827131402449,2.6516990057508902,BAU,1,1,0.0447051366124337,0.2881578947368421,0.3227122185492422,0.638,0.07399999999999995,0.08216915422885573,0.2033776041666667
Carcharhinus plumbeus,2,0.10570114759383756,0.10289827131402449,2.6516990057508902,Low Mortality,0.2881578947368421,0.07399999999999995,0.6591659142676295,0.2881578947368421,0.3227122185492422,0.638,0.07399999999999995,0.08216915422885573,0.2033776041666667
Carcharhinus plumbeus,2,0.10570114759383756,0.10289827131402449,2.6516990057508902,Median Mortality,0.3227122185492422,0.08216915422885573,0.6216359212648609,0.2881578947368421,0.3227122185492422,0.638,0.07399999999999995,0.08216915422885573,0.2033776041666667
Carcharhinus plumbeus,2,0.10570114759383756,0.10289827131402449,2.6516990057508902,High Mortality,0.638,0.2033776041666667,0.2887943977619094,0.2881578947368421,0.3227122185492422,0.638,0.07399999999999995,0.08216915422885573,0.2033776041666667
Carcharhinus porosus,2,0.12350496625943,0.09860568888853305,20.160547486482805,BAU,1,1,0.03847947214582707,0.5516212982351182,0.6339519238738848,0.867,0.07399999999999995,0.31801382292978797,0.5
Carcharhinus porosus,2,0.12350496625943,0.09860568888853305,20.160547486482805,Low Mortality,0.5516212982351182,0.07399999999999995,0.41520520649803344,0.5516212982351182,0.6339519238738848,0.867,0.07399999999999995,0.31801382292978797,0.5
Carcharhinus porosus,2,0.12350496625943,0.09860568888853305,20.160547486482805,Median Mortality,0.6339519238738848,0.31801382292978797,0.24999216970781007,0.5516212982351182,0.6339519238738848,0.867,0.07399999999999995,0.31801382292978797,0.5
Carcharhinus porosus,2,0.12350496625943,0.09860568888853305,20.160547486482805,High Mortality,0.867,0.5,0.0808085399407784,0.5516212982351182,0.6339519238738848,0.867,0.07399999999999995,0.31801382292978797,0.5
Carcharhinus sealei,2,0.07262777334254979,0.05281342381555288,27.28205563117333,BAU,1,1,0.06387605238518432,0.5516212982351182,0.676665955700707,1,0.08216915422885573,0.4031835117657424,0.7139999999999999
Carcharhinus sealei,2,0.07262777334254979,0.05281342381555288,27.28205563117333,Low Mortality,0.5516212982351182,0.08216915422885573,0.4120984191397756,0.5516212982351182,0.676665955700707,1,0.08216915422885573,0.4031835117657424,0.7139999999999999
Carcharhinus sealei,2,0.07262777334254979,0.05281342381555288,27.28205563117333,Median Mortality,0.676665955700707,0.4031835117657424,0.2026038230440072,0.5516212982351182,0.676665955700707,1,0.08216915422885573,0.4031835117657424,0.7139999999999999
Carcharhinus sealei,2,0.07262777334254979,0.05281342381555288,27.28205563117333,High Mortality,1,0.7139999999999999,0.06387605238518432,0.5516212982351182,0.676665955700707,1,0.08216915422885573,0.4031835117657424,0.7139999999999999
Carcharhinus signatus,2,0.14714076333333334,0.12092719767300786,17.81529813117875,BAU,1,1,0.03247062177616696,0.25,0.7160805604203153,0.7160805604203153,0.08,0.24878902061971583,0.4345920245398773
Carcharhinus signatus,2,0.14714076333333334,0.12092719767300786,17.81529813117875,Low Mortality,0.25,0.08,0.6900000001146173,0.25,0.7160805604203153,0.7160805604203153,0.08,0.24878902061971583,0.4345920245398773
Carcharhinus signatus,2,0.14714076333333334,0.12092719767300786,17.81529813117875,Median Mortality,0.7160805604203153,0.24878902061971583,0.21356353380586449,0.25,0.7160805604203153,0.7160805604203153,0.08,0.24878902061971583,0.4345920245398773
Carcharhinus signatus,2,0.14714076333333334,0.12092719767300786,17.81529813117875,High Mortality,0.7160805604203153,0.4345920245398773,0.16164471180206935,0.25,0.7160805604203153,0.7160805604203153,0.08,0.24878902061971583,0.4345920245398773
Carcharhinus sorrah,2,0.22743850569860036,0.1497552674471448,34.15571079876894,BAU,1,1,0.02120110015860784,0.5516212982351182,0.851,0.851,0.08216915422885573,0.40135970386332487,0.7139999999999999
Carcharhinus sorrah,2,0.22743850569860036,0.1497552674471448,34.15571079876894,Low Mortality,0.5516212982351182,0.08216915422885573,0.41153580377382454,0.5516212982351182,0.851,0.851,0.08216915422885573,0.40135970386332487,0.7139999999999999
Carcharhinus sorrah,2,0.22743850569860036,0.1497552674471448,34.15571079876894,Median Mortality,0.851,0.40135970386332487,0.09052289058295032,0.5516212982351182,0.851,0.851,0.08216915422885573,0.40135970386332487,0.7139999999999999
Carcharhinus sorrah,2,0.22743850569860036,0.1497552674471448,34.15571079876894,High Mortality,0.851,0.7139999999999999,0.04918986398562836,0.5516212982351182,0.851,0.851,0.08216915422885573,0.40135970386332487,0.7139999999999999
Carcharhinus tilstoni,2,0.23980627366873433,0.20021430425261813,16.50998066497964,BAU,1,1,0.02012371223677385,0.3227122185492422,0.633841879295508,0.851,0.07399999999999995,0.2604747525255019,0.33
Carcharhinus tilstoni,2,0.23980627366873433,0.20021430425261813,16.50998066497964,Low Mortality,0.3227122185492422,0.07399999999999995,0.6271684856234035,0.3227122185492422,0.633841879295508,0.851,0.07399999999999995,0.2604747525255019,0.33
Carcharhinus tilstoni,2,0.23980627366873433,0.20021430425261813,16.50998066497964,Median Mortality,0.633841879295508,0.2604747525255019,0.27078345780807994,0.3227122185492422,0.633841879295508,0.851,0.07399999999999995,0.2604747525255019,0.33
Carcharhinus tilstoni,2,0.23980627366873433,0.20021430425261813,16.50998066497964,High Mortality,0.851,0.33,0.10051682016246652,0.3227122185492422,0.633841879295508,0.851,0.07399999999999995,0.2604747525255019,0.33
Carcharhinus tjutjot,2,0.07262777334254979,0.052806418379959724,27.291701301515054,BAU,1,1,0.06387605238518432,0.5516212982351182,0.6769051934190224,1,0.08216915422885573,0.4031835117657424,0.7139999999999999
Carcharhinus tjutjot,2,0.07262777334254979,0.052806418379959724,27.291701301515054,Low Mortality,0.5516212982351182,0.08216915422885573,0.4120984191397756,0.5516212982351182,0.6769051934190224,1,0.08216915422885573,0.4031835117657424,0.7139999999999999
Carcharhinus tjutjot,2,0.07262777334254979,0.052806418379959724,27.291701301515054,Median Mortality,0.6769051934190224,0.4031835117657424,0.20247696565642145,0.5516212982351182,0.6769051934190224,1,0.08216915422885573,0.4031835117657424,0.7139999999999999
Carcharhinus tjutjot,2,0.07262777334254979,0.052806418379959724,27.291701301515054,High Mortality,1,0.7139999999999999,0.06387605238518432,0.5516212982351182,0.6769051934190224,1,0.08216915422885573,0.4031835117657424,0.7139999999999999
Carcharias taurus,2,0.03480866368422675,0.030585452168486155,12.132644775025668,BAU,1,1,0.1250023361436222,0.2469407582938388,0.4560327962270019,0.638,0.11501923076923076,0.2660476368236099,0.3703896103896104
Carcharias taurus,2,0.03480866368422675,0.030585452168486155,12.132644775025668,Low Mortality,0.2469407582938388,0.11501923076923076,0.6685112589276264,0.2469407582938388,0.4560327962270019,0.638,0.11501923076923076,0.2660476368236099,0.3703896103896104
Carcharias taurus,2,0.03480866368422675,0.030585452168486155,12.132644775025668,Median Mortality,0.4560327962270019,0.2660476368236099,0.4144248921200559,0.2469407582938388,0.4560327962270019,0.638,0.11501923076923076,0.2660476368236099,0.3703896103896104
Carcharias taurus,2,0.03480866368422675,0.030585452168486155,12.132644775025668,High Mortality,0.638,0.3703896103896104,0.27022800456057855,0.2469407582938388,0.4560327962270019,0.638,0.11501923076923076,0.2660476368236099,0.3703896103896104
Carcharodon carcharias,2,0.12421085536244632,0.11483625500846482,7.547327748952765,BAU,1,1,0.03826808281208366,0.28531428571428574,0.3646722578046267,0.38,0.11501923076923076,0.2069619387662949,0.3703896103896104
Carcharodon carcharias,2,0.12421085536244632,0.11483625500846482,7.547327748952765,Low Mortality,0.28531428571428574,0.11501923076923076,0.6324831321529415,0.28531428571428574,0.3646722578046267,0.38,0.11501923076923076,0.2069619387662949,0.3703896103896104
