scientific_name,f,f_mort,mid_avm,mid_prm,redlist_category,family,common_name,percent_diff,abs_diff,avm_prm,p_max,f_fmsy,mean_f_fmsy
Carcharhinus isodon,0.064287371625,0.021162082075811953,0.08661956521739131,0.2655628283970689,NT,Carcharhinidae,Finetooth shark,67.0821,0.04312528954918805,0.35218239361446024,0.19529609004523377,3.037860859896895,2.9695078567749085
Carcharhinus leiodon,0.07908848706977871,0.040171185487356806,0.33,0.2655628283970689,EN,Carcharhinidae,Smoothtooth blacktip shark,49.2073,0.038917301582421904,0.5955628283970689,0.15570837358474487,1.9687868532289088,2.9695078567749085
Carcharhinus leucas,0.1015901336867488,0.049495095286418406,0.16633889450623526,0.38488645458587656,VU,Carcharhinidae,Bull shark,51.2796,0.05209503840033039,0.5512253490921118,0.2085166248363084,2.052528304365317,2.9695078567749085
Carcharhinus limbatus,0.07862152974097482,0.05148571884211691,0.429925,0.394562497946848,VU,Carcharhinidae,Blacktip shark,34.5145,0.027135810898857908,0.824487497946848,0.12005944787926308,1.5270556077299555,2.9695078567749085
Carcharhinus longimanus,0.11769573577257444,0.04847033364480183,0.11501923076923076,0.33538379618251823,CR,Carcharhinidae,Oceanic whitetip shark,58.8173,0.06922540212777262,0.450403026951749,0.2857892653288261,2.4282040759833623,2.9695078567749085
Carcharhinus macloti,0.07908848706977871,0.04675042259834584,0.33,0.3897244762663623,NT,Carcharhinidae,Hardnose shark,40.8885,0.03233806447143287,0.7197244762663624,0.13379543247892323,1.6917181935833128,2.9695078567749085
Carcharhinus melanopterus,0.07908848706977871,0.045507455274224215,0.429925,0.25518438627854423,VU,Carcharhinidae,Blacktip reef shark,42.4601,0.033581031795554495,0.6851093862785442,0.13744981668334272,1.7379244663268447,2.9695078567749085
Carcharhinus obscurus,0.0531466275,0.026308198260678494,0.17903225806451611,0.38488645458587656,EN,Carcharhinidae,Dusky shark,50.4988,0.026838429239321508,0.5639187126503926,0.10736432147099464,2.020153046794825,2.9695078567749085
Carcharhinus plumbeus,0.07927586069537818,0.033024234625367514,0.08661956521739131,0.361244966442953,EN,Carcharhinidae,Sandbar shark,58.3426,0.04625162607001066,0.44786453166034434,0.1903043893651024,2.4005338787346306,2.9695078567749085
Carcharhinus porosus,0.0926287246945725,0.02117871479427734,0.17903225806451611,0.06042702702702703,CR,Carcharhinidae,Smalltail shark,77.1359,0.07145000990029517,0.23945928509154313,0.4051273598985856,4.373668764569785,2.9695078567749085
Carcharhinus sealei,0.05447083000691234,0.031664750276407715,0.429925,0.2655628283970689,VU,Carcharhinidae,Blackspot shark,41.8684,0.022806079730504622,0.6954878283970689,0.09370261614494069,1.7202347776424527,2.9695078567749085
