scientific_name,family,group,gear_class,habitat_associated,estimate_type,estimate,sample_size,method,ventilation_method,max_size_cm,median_depth,reproductive_mode,reference
Carcharhinus brevipinna,Carcharhinidae,Sharks,trawl,reef-associated,at-vessel mortality,0.56,25,visual,ram,304,100,placental viviparity,Fennessy 1994
Carcharhinus obscurus,Carcharhinidae,Sharks,trawl,reef-associated,at-vessel mortality,0.125,8,visual,ram,420,250,placental viviparity,Fennessy 1994
Carcharhinus plumbeus,Carcharhinidae,Sharks,trawl,benthopelagic,at-vessel mortality,0.33,6,visual,ram,243,140,placental viviparity,Fennessy 1994
Halaelurus lineatus,Scyliorhinidae,Sharks,trawl,demersal,at-vessel mortality,0.192,47,visual,stationary,56,145,oviparous,Fennessy 1994
Acroteriobatus leucospilus,Rhinobatidae,Batoids,trawl,demersal,at-vessel mortality,0.526,19,visual,stationary,120,50,yolk-sac viviparity,Fennessy 1994
Rhynchobatus djiddensis,Rhinidae,Batoids,trawl,reef-associated,at-vessel mortality,0.182,11,visual,stationary,310,38,yolk-sac viviparity,Fennessy 1994
Acroteriobatus annulatus,Rhinobatidae,Batoids,trawl,demersal,at-vessel mortality,0.111,9,visual,stationary,140,36.5,yolk-sac viviparity,Fennessy 1994
Aetomylaeus bovinus,Myliobatidae,Batoids,trawl,benthopelagic,at-vessel mortality,0.25,4,visual,stationary,222,50,histotrophy,Fennessy 1994
Myliobatis aquila,Myliobatidae,Batoids,trawl,benthopelagic,at-vessel mortality,0.5,4,visual,stationary,150,30,histotrophy,Fennessy 1994
Aetobatus narinari,Aetobatidae,Batoids,trawl,benthopelagic,at-vessel mortality,0,3,visual,stationary,226,30,histotrophy,Fennessy 1994
Squatina africana,Squatinidae,Sharks,trawl,demersal,at-vessel mortality,0.6,10,visual,stationary,122,300,yolk-sac viviparity,Fennessy 1994
Torpedo sinuspersici,Torpedinidae,Batoids,trawl,reef-associated,at-vessel mortality,0.4,5,visual,stationary,130,101,yolk-sac viviparity,Fennessy 1994
Carcharhinus dussumieri,Carcharhinidae,Sharks,trawl,reef-associated,at-vessel mortality,0.52,321,visual,ram,100.7,50,placental viviparity,Stobutzki et al 2002
Carcharhinus sorrah,Carcharhinidae,Sharks,trawl,reef-associated,at-vessel mortality,0.65,23,visual,ram,166,70,placental viviparity,Stobutzki et al 2002
Carcharhinus tilstoni,Carcharhinidae,Sharks,trawl,pelagic-neritic,at-vessel mortality,0.82,73,visual,ram,200,75,placental viviparity,Stobutzki et al 2002
Rhizoprionodon acutus,Carcharhinidae,Sharks,trawl,demersal,at-vessel mortality,0.82,116,visual,ram,178,100.5,placental viviparity,Stobutzki et al 2002
Chaenogaleus macrostoma,Hemigaleidae,Sharks,trawl,demersal,at-vessel mortality,0.62,68,visual,stationary,125,80,placental viviparity,Stobutzki et al 2002
Rhynchobatus djiddensis,Rhinidae,Batoids,trawl,reef-associated,at-vessel mortality,0.1,59,visual,stationary,310,38,yolk-sac viviparity,Stobutzki et al 2002
Neotrygon leylandi,Dasyatidae,Batoids,trawl,demersal,at-vessel mortality,0.59,41,visual,stationary,270,47.5,histotrophy,Stobutzki et al 2002
Himantura toshi,Dasyatidae,Batoids,trawl,demersal,at-vessel mortality,0.53,58,visual,stationary,74,70,histotrophy,Stobutzki et al 2002
Gymnura natalensis,Gymnuridae,Batoids,trawl,demersal,at-vessel mortality,0.34,41,visual,stationary,250,37.5,placental viviparity,Stobutzki et al 2002
Dasyatis sp,Dasyatidae,Batoids,gillnet,,at-vessel mortality,0.072,112,visual,stationary,,,histotrophy,Gray 2002
Squalus acanthias,Squalidae,Sharks,gillnet,benthopelagic,at-vessel mortality,0.175,2284,visual,stationary,200,989,yolk-sac viviparity,Rulifson 2007
Squalus acanthias,Squalidae,Sharks,gillnet,benthopelagic,post-release mortality,0.75,480,captivity after fishing,stationary,200,989,yolk-sac viviparity,Rulifson 2007
Carcharhinus plumbeus,Carcharhinidae,Sharks,longline,benthopelagic,at-vessel mortality,0.005,185,visual,ram,243,140,placental viviparity,Whitney et al 2021
Carcharhinus plumbeus,Carcharhinidae,Sharks,longline,benthopelagic,post-release mortality,0.031,130,acceleration data loggers,ram,243,140,placental viviparity,Whitney et al 2021
Carcharhinus limbatus,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.35,292,visual,ram,286,70,placental viviparity,Whitney et al 2021
Carcharhinus limbatus,Carcharhinidae,Sharks,longline,reef-associated,post-release mortality,0.419,105,acceleration data loggers,ram,286,70,placental viviparity,Whitney et al 2021
Galeocerdo cuvier,Carcharhinidae,Sharks,longline,benthopelagic,at-vessel mortality,0,126,visual,ram,740,556,placental viviparity,Whitney et al 2021
Galeocerdo cuvier,Carcharhinidae,Sharks,longline,benthopelagic,post-release mortality,0.019,52,acceleration data loggers,ram,740,556,placental viviparity,Whitney et al 2021
Carcharhinus leucas,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0,36,visual,ram,366,82.5,placental viviparity,Whitney et al 2021
Carcharhinus leucas,Carcharhinidae,Sharks,longline,reef-associated,post-release mortality,0.071,14,acceleration data loggers,ram,366,82.5,placental viviparity,Whitney et al 2021
Carcharhinus brevipinna,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.618,55,visual,ram,304,100,placental viviparity,Whitney et al 2021
Carcharhinus brevipinna,Carcharhinidae,Sharks,longline,reef-associated,post-release mortality,0.714,14,acceleration data loggers,ram,304,100,placental viviparity,Whitney et al 2021
Ginglymostoma cirratum,Orectolobidae,Sharks,longline,reef-associated,at-vessel mortality,0,213,visual,ram,308,65,yolk-sac viviparity,Whitney et al 2021
Negaprion brevirostris,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0,6,visual,ram,368,60,placental viviparity,Whitney et al 2021
Rhizoprionodon terraenovae,Carcharhinidae,Sharks,longline,demersal,at-vessel mortality,0.674,46,visual,ram,113,140,placental viviparity,Whitney et al 2021
Raja clavata,Rajidae,Batoids,gillnet,demersal,at-vessel mortality,0.92,975,visual,stationary,130,513.5,oviparous,Ellis et al 2008
Raja clavata,Rajidae,Batoids,longline,demersal,at-vessel mortality,0,817,visual,stationary,130,513.5,oviparous,Ellis et al 2008
Raja clavata,Rajidae,Batoids,trawl,demersal,at-vessel mortality,0.6,3822,visual,stationary,130,513.5,oviparous,Ellis et al 2008
Leucoraja naevus,Rajidae,Batoids,trawl,demersal,post-release mortality,0.77,6,captivity after fishing,stationary,81,456,oviparous,Enever et al 2009
Raja microocellata,Rajidae,Batoids,trawl,demersal,post-release mortality,0.49,39,captivity after fishing,stationary,103,56,oviparous,Enever et al 2009
Raja brachyura,Rajidae,Batoids,trawl,demersal,post-release mortality,0.4,15,captivity after fishing,stationary,120,455,oviparous,Enever et al 2009
Raja clavata,Rajidae,Batoids,trawl,demersal,post-release mortality,0.29,107,captivity after fishing,stationary,130,513.5,oviparous,Enever et al 2009
Leucoraja erinacea,Rajidae,Batoids,trawl,demersal,post-release mortality,0.491,179,captivity after fishing,stationary,62,462,oviparous,Rudders et al 2015
Leucoraja ocellata,Rajidae,Batoids,trawl,demersal,post-release mortality,0.652,116,captivity after fishing,stationary,113,363.5,oviparous,Rudders et al 2015
Negaprion brevirostris,Carcharhinidae,Sharks,gillnet,reef-associated,at-vessel mortality,0.035,655,captivity after fishing,ram,368,60,placental viviparity,Grubber et al 2001
Carcharhinus limbatus,Carcharhinidae,Sharks,gillnet,reef-associated,at-vessel mortality,0.242,33,visual,ram,286,70,placental viviparity,Manire et al 2001
Carcharhinus leucas,Carcharhinidae,Sharks,gillnet,reef-associated,at-vessel mortality,0.185,27,visual,ram,366,82.5,placental viviparity,Manire et al 2001
Sphyrna tiburo,Sphyrnidae,Sharks,gillnet,reef-associated,at-vessel mortality,0.308,39,visual,ram,150,45,placental viviparity,Manire et al 2001
Carcharhinus acronotus,Carcharhinidae,Sharks,gillnet,reef-associated,at-vessel mortality,0.813,67,visual,ram,164,51.5,placental viviparity,Thorpe & Frierson 2009
Carcharhinus limbatus,Carcharhinidae,Sharks,gillnet,reef-associated,at-vessel mortality,0.905,78,visual,ram,286,70,placental viviparity,Thorpe & Frierson 2009
Rhizoprionodon terraenovae,Carcharhinidae,Sharks,gillnet,demersal,at-vessel mortality,0.804,1061,visual,ram,113,140,placental viviparity,Thorpe & Frierson 2009
Sphyrna tiburo,Sphyrnidae,Sharks,gillnet,reef-associated,at-vessel mortality,0.715,149,visual,ram,150,45,placental viviparity,Thorpe & Frierson 2009
Notorynchus cepedianus,Hexanchidae,Sharks,gillnet,demersal,at-vessel mortality,0.332,202,visual,ram,296,285,yolk-sac viviparity,Braccini et al 2012
Squalus acanthias,Squalidae,Sharks,gillnet,benthopelagic,at-vessel mortality,0.135,52,visual,stationary,200,989,yolk-sac viviparity,Braccini et al 2012
Squalus megalops,Squalidae,Sharks,gillnet,demersal,at-vessel mortality,0.103,1178,visual,stationary,89,366,yolk-sac viviparity,Braccini et al 2012
Pristiophorus nudipinnis,Pristiophoridae,Sharks,gillnet,demersal,at-vessel mortality,0.416,113,visual,stationary,124,82.5,yolk-sac viviparity,Braccini et al 2012
Pristiophorus cirratus,Pristiophoridae,Sharks,gillnet,demersal,at-vessel mortality,0.247,562,visual,stationary,149,335,yolk-sac viviparity,Braccini et al 2012
Squatina australis,Squatinidae,Sharks,gillnet,demersal,at-vessel mortality,0.25,56,visual,stationary,152,65,yolk-sac viviparity,Braccini et al 2012
Heterodontus portusjacksoni,Heterodontidae,Sharks,gillnet,demersal,at-vessel mortality,0.08,1452,visual,stationary,165,87.5,oviparous,Braccini et al 2012
Parascyllium ferrugineum,Parascyllidae,Sharks,gillnet,demersal,at-vessel mortality,0.125,24,visual,stationary,81.5,77.5,oviparous,Braccini et al 2012
Cephaloscyllium laticeps,Scyliorhinidae,Sharks,gillnet,demersal,at-vessel mortality,0.05,1977,visual,stationary,150,30,oviparous,Braccini et al 2012
Furgaleus macki,Triakidae,Sharks,gillnet,demersal,at-vessel mortality,0.928,223,visual,ram,160,113.5,yolk-sac viviparity,Braccini et al 2012
Galeorhinus galeus,Triakidae,Sharks,gillnet,benthopelagic,at-vessel mortality,0.727,1361,visual,ram,199,400,yolk-sac viviparity,Braccini et al 2012
Mustelus antarcticus,Triakidae,Sharks,gillnet,demersal,at-vessel mortality,0.569,3726,visual,ram,185.2,175.5,yolk-sac viviparity,Braccini et al 2012
Carcharhinus brachyurus,Carcharhinidae,Sharks,gillnet,reef-associated,at-vessel mortality,0.362,152,visual,ram,322,73,placental viviparity,Braccini et al 2012
Sphyrna zygaena,Sphyrnidae,Sharks,gillnet,pelagic,at-vessel mortality,0.893,122,visual,ram,400,100,placental viviparity,Braccini et al 2012
Myliobatis tenuicaudatus,Myliobatidae,Batoids,gillnet,benthopelagic,at-vessel mortality,0.53,133,visual,stationary,160,211,histotrophy,Braccini et al 2012
Carcharodon carcharias,Lamnidae,Sharks,gillnet,pelagic,post-release mortality,0.071,28,satellite tag,ram,594.4,600,oophagy,Lyons et al 2013
Carcharodon carcharias,Lamnidae,Sharks,gillnet,pelagic,at-vessel mortality,0.44,87,visual,ram,594.4,600,oophagy,Lyons et al 2013
Isurus oxyrinchus,Lamnidae,Sharks,longline,pelagic,at-vessel mortality,0.284,299,visual,ram,445,375,oophagy,Francis et al 2001
Lamna nasus,Lamnidae,Sharks,longline,pelagic,at-vessel mortality,0.392,2370,visual,ram,365,904.5,oophagy,Francis et al 2001
Prionace glauca,Carcharhinidae,Sharks,longline,pelagic,at-vessel mortality,0.135,7838,visual,ram,383.5,500,placental viviparity,Francis et al 2001
Alopias superciliosus,Alopiidae,Sharks,longline,pelagic,at-vessel mortality,0.537,82,visual,ram,484,361.5,oophagy,Beerkircher et al 2004
Isurus oxyrinchus,Lamnidae,Sharks,longline,pelagic,at-vessel mortality,0.35,80,visual,ram,445,375,oophagy,Beerkircher et al 2004
Carcharhinus falciformis,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.663,1446,visual,ram,350,250,placental viviparity,Beerkircher et al 2004
Carcharhinus longimanus,Carcharhinidae,Sharks,longline,pelagic,at-vessel mortality,0.275,131,visual,ram,350,541,placental viviparity,Beerkircher et al 2004
Carcharhinus obscurus,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.487,679,visual,ram,420,250,placental viviparity,Beerkircher et al 2004
Carcharhinus plumbeus,Carcharhinidae,Sharks,longline,benthopelagic,at-vessel mortality,0.268,112,visual,ram,243,140,placental viviparity,Beerkircher et al 2004
Carcharhinus signatus,Carcharhinidae,Sharks,longline,benthopelagic,at-vessel mortality,0.808,572,visual,ram,280,300,placental viviparity,Beerkircher et al 2004
Galeocerdo cuvier,Carcharhinidae,Sharks,longline,benthopelagic,at-vessel mortality,0.03,263,visual,ram,740,556,placental viviparity,Beerkircher et al 2004
Prionace glauca,Carcharhinidae,Sharks,longline,pelagic,at-vessel mortality,0.122,434,visual,ram,383.5,500,placental viviparity,Beerkircher et al 2004
Sphyrna lewini,Sphyrnidae,Sharks,longline,pelagic,at-vessel mortality,0.61,199,visual,ram,430,521.5,placental viviparity,Beerkircher et al 2004
Carcharhinus limbatus,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.88,1982,visual,ram,286,70,placental viviparity,Morgan & Burgess 2007
Carcharhinus obscurus,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.81,662,visual,ram,420,250,placental viviparity,Morgan & Burgess 2007
Carcharhinus plumbeus,Carcharhinidae,Sharks,longline,benthopelagic,at-vessel mortality,0.36,8583,visual,ram,243,140,placental viviparity,Morgan & Burgess 2007
Galeocerdo cuvier,Carcharhinidae,Sharks,longline,benthopelagic,at-vessel mortality,0.085,2466,visual,ram,740,556,placental viviparity,Morgan & Burgess 2007
Sphyrna lewini,Sphyrnidae,Sharks,longline,pelagic,at-vessel mortality,0.914,455,visual,ram,430,521.5,placental viviparity,Morgan & Burgess 2007
Sphyrna mokarran,Sphyrnidae,Sharks,longline,pelagic,at-vessel mortality,0.938,178,visual,ram,610,150,placental viviparity,Morgan & Burgess 2007
Carcharhinus acronotus,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.77,65,visual,ram,164,51.5,placental viviparity,Morgan & Carlson 2010
Carcharhinus limbatus,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.85,165,visual,ram,286,70,placental viviparity,Morgan & Carlson 2010
Carcharhinus plumbeus,Carcharhinidae,Sharks,longline,benthopelagic,at-vessel mortality,0.21,353,visual,ram,243,140,placental viviparity,Morgan & Carlson 2010
Rhizoprionodon terraenovae,Carcharhinidae,Sharks,longline,demersal,at-vessel mortality,0.91,118,visual,ram,113,140,placental viviparity,Morgan & Carlson 2010
Heptranchias perlo,Lamnidae,Sharks,longline,bathydemersal,at-vessel mortality,0.242,33,visual,ram,140,500,oophagy,Scott-Denton et al 2011
Squalus cubensis,Squalidae,Sharks,longline,demersal,at-vessel mortality,0.102,49,visual,stationary,110,370.5,yolk-sac viviparity,Scott-Denton et al 2011
Squalus sp,Squalidae,Sharks,longline,,at-vessel mortality,0,2,visual,stationary,,,yolk-sac viviparity,Scott-Denton et al 2011
Centrophorus granulosus,Centrophoridae,Sharks,longline,bathydemersal,at-vessel mortality,0,35,visual,stationary,176,775,yolk-sac viviparity,Scott-Denton et al 2011
Ginglymostoma cirratum,Ginglymostomatidae,Sharks,longline,reef-associated,at-vessel mortality,0.613,163,visual,stationary,308,65,yolk-sac viviparity,Scott-Denton et al 2011
Mustelus canis,Triakidae,Sharks,longline,demersal,at-vessel mortality,0.008,1279,visual,ram,155,404,yolk-sac viviparity,Scott-Denton et al 2011
Mustelus sp,Triakidae,Sharks,longline,,at-vessel mortality,0,72,visual,ram,,,yolk-sac viviparity,Scott-Denton et al 2011
Carcharhinus acronotus,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.08,801,visual,ram,164,51.5,placental viviparity,Scott-Denton et al 2011
Carcharhinus brevipinna,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.038,26,visual,ram,304,100,placental viviparity,Scott-Denton et al 2011
