scientific_name,family,group,gear_class,habitat_associated,estimate_type,estimate,sample_size,method,ventilation_method,max_size_cm,median_depth,reproductive_mode,reference
Sphyrna mokarran,Sphyrnidae,Sharks,longline,pelagic,at-vessel mortality,0.308,13,visual,ram,610,150,placental viviparity,Braccini & Walrick 2019
Mustelus antarcticus,Triakidae,Sharks,longline,demersal,at-vessel mortality,0.375,16,visual,ram,185.2,178,yolk-sac viviparity,Braccini & Walrick 2019
Carcharhinus albimarginatus,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.385,13,visual,ram,300,400,placental viviparity,Braccini & Walrick 2019
Carcharhinus amblyrhynchos,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.5,2,visual,ram,265,137.5,placental viviparity,Braccini & Walrick 2019
Carcharhinus limbatus/tilstoni,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.526,19,visual,ram,286,70,placental viviparity,Braccini & Walrick 2019
Sphyrna lewini,Sphyrnidae,Sharks,longline,pelagic,at-vessel mortality,0.714,28,visual,ram,430,521.5,placental viviparity,Braccini & Walrick 2019
Loxodon macrorhinus,Carcharhinidae,Sharks,longline,demersal,at-vessel mortality,0.8,15,visual,ram,99,63.5,yolk-sac viviparity,Braccini & Walrick 2019
Carcharhinus sorrah,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.851,114,visual,ram,166,70,placental viviparity,Braccini & Walrick 2019
Rhizoprionodon acutus,Carcharhinidae,Sharks,longline,demersal,at-vessel mortality,0.867,98,visual,ram,178,100.5,placental viviparity,Braccini & Walrick 2019
Carcharhinus brevipinna,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.938,16,visual,ram,304,100,placental viviparity,Braccini & Walrick 2019
Carcharhinus dussumieri,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,1,1,visual,ram,100.7,50,placental viviparity,Braccini & Walrick 2019
Carcharhinus limbatus,Carcharhinidae,Sharks,handline,reef-associated,post-release mortality,0.455,11,satellite tag,ram,286,70,placental viviparity,Binstock et al 2023
Carcharhinus leucas,Carcharhinidae,Sharks,handline,reef-associated,post-release mortality,0,14,satellite tag,ram,366,82.5,placental viviparity,Binstock et al 2023
Galeocerdo cuvier,Carcharhinidae,Sharks,handline,benthopelagic,post-release mortality,0,6,satellite tag,ram,740,556,placental viviparity,Binstock et al 2023
Carcharhinus acronotus,Carcharhinidae,Sharks,pole and line,reef-associated,post-release mortality,0.301,63,acceleration data loggers,ram,164,51.5,placental viviparity,Knotek et al 2022
Leucoraja erinacea,Rajidae,Batoids,trawl,demersal,post-release mortality,0.143,251,captivity after fishing,stationary,62,462,oviparous,Mandelman et al 2013
Malacoraja senta,Rajidae,Batoids,trawl,bathydemersal,post-release mortality,0.586,58,captivity after fishing,stationary,71,730.5,oviparous,Mandelman et al 2013
Amblyraja radiata,Rajidae,Batoids,trawl,demersal,post-release mortality,0.196,407,captivity after fishing,stationary,111,773,oviparous,Mandelman et al 2013
Leucoraja ocellata,Rajidae,Batoids,trawl,demersal,post-release mortality,0.077,572,captivity after fishing,stationary,113,363.5,oviparous,Mandelman et al 2013
Raja undulata,Rajidae,Batoids,longline,demersal,post-release survival,1,2,satellite tag,stationary,114,102,oviparous,Alonso-Fernandez et al (2022)
Raja brachyura,Rajidae,Batoids,longline,demersal,post-release survival,1,3,satellite tag,stationary,120,455,oviparous,Alonso-Fernandez et al (2022)
Raja clavata,Rajidae,Batoids,longline,demersal,post-release survival,0.667,14,satellite tag,stationary,130,513.5,oviparous,Alonso-Fernandez et al (2022)
Scyliorhinus canicula,Scyliorhinidae,Sharks,longline,demersal,post-release survival,0.926,18,satellite tag,stationary,100,400.5,oviparous,Alonso-Fernandez et al (2022)
Leucoraja ocellata,Rajidae,Batoids,trawl,demersal,post-release survival,0.04,49,captivity after fishing,stationary,113,363.5,oviparous,Benoit et al (2010)
Trygonoptera testacea,Urolophidae,Batoids,trawl,demersal,post-release survival,0.66,187,captivity after fishing,stationary,52,67.5,oviparous,Campbell et al (2018)
Aptychotrema rostrata,Trygonorrhinidae,Batoids,trawl,demersal,post-release survival,0.39,155,captivity after fishing,stationary,120,110,oviparous,Campbell et al (2018)
Isurus oxyrinchus,Lamnidae,Sharks,longline,pelagic,post-release mortality,0.25,34,satellite tag,ram,445,375,oophagy,Domingo et al (2018)
Carcharhinus falciformis,Carcharhinidae,Sharks,purse seine,reef-associated,at-vessel mortality,0.585,53,visual,ram,350,250,placental viviparity,Eddy et al (2016)
Isurus oxyrinchus,Lamnidae,Sharks,purse seine,pelagic,at-vessel mortality,0,1,visual,ram,445,375,oophagy,Eddy et al (2016)
Sphyrna lewini,Sphyrnidae,Sharks,purse seine,pelagic,at-vessel mortality,0,6,visual,ram,430,521.5,placental viviparity,Eddy et al (2016)
Carcharhinus falciformis,Carcharhinidae,Sharks,purse seine,reef-associated,post-release mortality,0.33,53,satellite tag,ram,350,250,placental viviparity,Eddy et al (2016)
Isurus oxyrinchus,Lamnidae,Sharks,purse seine,pelagic,post-release mortality,0,1,satellite tag,ram,445,375,oophagy,Eddy et al (2016)
Sphyrna lewini,Sphyrnidae,Sharks,purse seine,pelagic,post-release mortality,0.5,6,satellite tag,ram,430,521.5,placental viviparity,Eddy et al (2016)
Isurus oxyrinchus,Lamnidae,Sharks,longline,pelagic,post-release survival,0.05,60,satellite tag,ram,445,375,oophagy,Francis et al (2022)
Carcharhinus falciformis,Carcharhinidae,Sharks,longline,reef-associated,post-release survival,0.08,57,satellite tag,ram,350,250,placental viviparity,Francis et al (2022)
Carcharhinus falciformis,Carcharhinidae,Sharks,purse seine,reef-associated,at-vessel mortality,0.348,526,visual,ram,350,250,placental viviparity,Grande et al (2022)
Carcharhinus falciformis,Carcharhinidae,Sharks,purse seine,reef-associated,post-release mortality,0.23,60,satellite tag,ram,350,250,placental viviparity,Grande et al (2022)
Prionace glauca,Carcharhinidae,Sharks,longline,pelagic,post-release mortality,0.333,69,satellite tag,ram,383.5,500,placental viviparity,Hutchinson et al (2021)
Alopias superciliosus,Alopiidae,Sharks,longline,pelagic,post-release mortality,0.162,43,satellite tag,ram,484,361.5,oophagy,Hutchinson et al (2021)
Isurus oxyrinchus,Lamnidae,Sharks,longline,pelagic,post-release mortality,0.05,20,satellite tag,ram,445,375,oophagy,Hutchinson et al (2021)
Carcharhinus falciformis,Carcharhinidae,Sharks,longline,reef-associated,post-release mortality,0.03,30,satellite tag,ram,350,250,placental viviparity,Hutchinson et al (2021)
Carcharhinus longimanus,Carcharhinidae,Sharks,longline,pelagic,post-release mortality,0.129,62,satellite tag,ram,350,541,placental viviparity,Hutchinson et al (2021)
Amblyraja radiata,Rajidae,Batoids,trawl,demersal,post-release mortality,0.116,60,satellite tag,stationary,111,773,oviparous,Knotek et al (2020)
Raja undulata,Rajidae,Batoids,trawl,demersal,post-release mortality,0.49,123,satellite tag,stationary,114,102,oviparous,Morfin et al (2019)
Carcharhinus falciformis,Carcharhinidae,Sharks,purse seine,reef-associated,post-release mortality,0.25,28,satellite tag,ram,350,250,placental viviparity,Onandia et al (2021)
Galeorhinus galeus,Triakidae,Sharks,longline,benthopelagic,at-vessel mortality,0.25,32,visual,ram,199,400,yolk-sac viviparity,Rogers et al (2017)
Galeorhinus galeus,Triakidae,Sharks,longline,benthopelagic,post-release survival,0,10,satellite tag,ram,199,400,yolk-sac viviparity,Rogers et al (2017)
Raja clavata,Rajidae,Batoids,trawl,demersal,post-release mortality,0.808,120,captivity after fishing,stationary,130,513.5,oviparous,Saygu and Deval (2014)
Raja miraletus,Rajidae,Batoids,trawl,demersal,post-release mortality,0.206,68,captivity after fishing,stationary,71.7,283,oviparous,Saygu and Deval (2014)
Alopias superciliosus,Alopiidae,Sharks,longline,pelagic,post-release mortality,0.071,14,satellite tag,ram,484,361.5,oophagy,Sepulveda et al (2019)
Leucoraja ocellata,Rajidae,Batoids,gillnet,demersal,post-release mortality,0.143,448,captivity after fishing,stationary,113,363.5,oviparous,Sulikowski et al (2018)
Carcharhinus limbatus,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.452,221,visual,ram,286,70,placental viviparity,Whitney et al (2019)
Carcharhinus plumbeus,Carcharhinidae,Sharks,longline,benthopelagic,at-vessel mortality,0.007,153,visual,ram,243,140,placental viviparity,Whitney et al (2019)
Carcharhinus brevipinna,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0.63,54,visual,ram,304,100,placental viviparity,Whitney et al (2019)
Galeocerdo cuvier,Carcharhinidae,Sharks,longline,benthopelagic,at-vessel mortality,0,95,visual,ram,740,556,placental viviparity,Whitney et al (2019)
Carcharhinus leucas,Carcharhinidae,Sharks,longline,reef-associated,at-vessel mortality,0,19,visual,ram,366,82.5,placental viviparity,Whitney et al (2019)
Carcharhinus limbatus,Carcharhinidae,Sharks,longline,reef-associated,post-release mortality,0.442,95,prm model,ram,286,70,placental viviparity,Whitney et al (2019)
Carcharhinus plumbeus,Carcharhinidae,Sharks,longline,benthopelagic,post-release mortality,0.034,119,prm model,ram,243,140,placental viviparity,Whitney et al (2019)
Carcharhinus brevipinna,Carcharhinidae,Sharks,longline,reef-associated,post-release mortality,0.714,14,prm model,ram,304,100,placental viviparity,Whitney et al (2019)
Galeocerdo cuvier,Carcharhinidae,Sharks,longline,benthopelagic,post-release mortality,0.02,51,prm model,ram,740,556,placental viviparity,Whitney et al (2019)
Carcharhinus leucas,Carcharhinidae,Sharks,longline,reef-associated,post-release mortality,0.083,12,prm model,ram,366,82.5,placental viviparity,Whitney et al (2019)
Raja clavata,Rajidae,Batoids,trawl,demersal,at-vessel mortality,0.056,1723,visual,stationary,130,513.5,oviparous,Bogaert (2021)
Raja brachyura,Rajidae,Batoids,trawl,demersal,at-vessel mortality,0.027,478,visual,stationary,120,455,oviparous,Bogaert (2021)
Raja montagui,Rajidae,Batoids,trawl,demersal,at-vessel mortality,0.031,119,visual,stationary,80,329,oviparous,Bogaert (2021)
Raja undulata,Rajidae,Batoids,trawl,demersal,at-vessel mortality,0.101,242,visual,stationary,114,102,oviparous,Bogaert (2021)
Raja clavata,Rajidae,Batoids,gillnet,demersal,at-vessel mortality,0.02,410,visual,stationary,130,513.5,oviparous,Bogaert (2021)
Raja brachyura,Rajidae,Batoids,gillnet,demersal,at-vessel mortality,0,23,visual,stationary,120,455,oviparous,Bogaert (2021)
Raja montagui,Rajidae,Batoids,gillnet,demersal,at-vessel mortality,0,4,visual,stationary,80,329,oviparous,Bogaert (2021)
Raja undulata,Rajidae,Batoids,gillnet,demersal,at-vessel mortality,0,7,visual,stationary,114,102,oviparous,Bogaert (2021)
Raja clavata,Rajidae,Batoids,trawl,demersal,post-release mortality,0.283,92,captivity after fishing,stationary,130,513.5,oviparous,Bogaert (2021)
Raja brachyura,Rajidae,Batoids,trawl,demersal,post-release mortality,0.193,57,captivity after fishing,stationary,120,455,oviparous,Bogaert (2021)
Raja montagui,Rajidae,Batoids,trawl,demersal,post-release mortality,0.726,27,captivity after fishing,stationary,80,329,oviparous,Bogaert (2021)
Raja undulata,Rajidae,Batoids,trawl,demersal,post-release mortality,0.438,32,captivity after fishing,stationary,114,102,oviparous,Bogaert (2021)
Raja clavata,Rajidae,Batoids,gillnet,demersal,post-release mortality,0.067,42,captivity after fishing,stationary,130,513.5,oviparous,Bogaert (2021)
Raja brachyura,Rajidae,Batoids,gillnet,demersal,post-release mortality,0,1,captivity after fishing,stationary,120,455,oviparous,Bogaert (2021)
Raja undulata,Rajidae,Batoids,gillnet,demersal,post-release mortality,0.012,5,captivity after fishing,stationary,114,102,oviparous,Bogaert (2021)
Squalus acanthias,Squalidae,Sharks,trawl,benthopelagic,at-vessel mortality,0,635,visual,ram,200,989,yolk-sac viviparity,Rulifson (2007)
Squalus acanthias,Squalidae,Sharks,gillnet,benthopelagic,at-vessel mortality,0.175,1884,visual,ram,200,989,yolk-sac viviparity,Rulifson (2007)
Squalus acanthias,Squalidae,Sharks,gillnet,benthopelagic,post-release mortality,0.502,480,captivity after fishing,ram,200,989,yolk-sac viviparity,Rulifson (2007)
Squalus acanthias,Squalidae,Sharks,trawl,benthopelagic,post-release mortality,0,480,captivity after fishing,ram,200,989,yolk-sac viviparity,Rulifson (2007)
Alopias vulpinus,Alopiidae,Sharks,pole and line,pelagic,post-release survival,0.74,19,satellite tag,ram,573.3,325,oophagy,Heberer et al (2010)
Alopias vulpinus,Alopiidae,Sharks,pole and line,pelagic,at-vessel mortality,0.1,20,visual,ram,573.3,325,oophagy,Heberer et al (2010)
Carcharhinus limbatus,Carcharhinidae,Sharks,pole and line,reef-associated,post-release survival,0.429,92,satellite tag,ram,286,70,placental viviparity,Heupel and Simpfendorfer (2002)
Squalus acanthias,Squalidae,Sharks,trawl,benthopelagic,post-release mortality,0.29,185,captivity after fishing,ram,200,989,yolk-sac viviparity,Mandelman and Farrington 2007
Squalus acanthias,Squalidae,Sharks,pole and line,benthopelagic,post-release mortality,0.24,55,captivity after fishing,ram,200,989,yolk-sac viviparity,Mandelman and Farrington 2007
Carcharhinus limbatus,Carcharhinidae,Sharks,pole and line,reef-associated,post-release mortality,0.097,31,acceleration data loggers,ram,286,70,placental viviparity,Whitney et al (2019)
Rhizoprionodon terraenovae,Carcharhinidae,Sharks,gillnet,demersal,at-vessel mortality,0.342,38,visual,ram,178,100.5,placental viviparity,Hueter and Manire (1994)
Carcharhinus acronotus,Carcharhinidae,Sharks,gillnet,reef-associated,at-vessel mortality,0.34,47,visual,ram,164,51.5,placental viviparity,Hueter and Manire (1994)
Carcharhinus limbatus,Carcharhinidae,Sharks,gillnet,reef-associated,at-vessel mortality,0.377,323,visual,ram,286,70,placental viviparity,Hueter and Manire (1994)
Sphyrna tiburo,Carcharhinidae,Sharks,gillnet,reef-associated,at-vessel mortality,0.314,1115,visual,ram,150,45,placental viviparity,Hueter and Manire (1994)
Carcharhinus leucas,Carcharhinidae,Sharks,gillnet,reef-associated,at-vessel mortality,0.018,56,visual,ram,366,82.5,placental viviparity,Hueter and Manire (1994)
Mustelus norrisi,Triakidae,Sharks,gillnet,demersal,at-vessel mortality,0,9,visual,ram,102,130,yolk-sac viviparity,Hueter and Manire (1994)
Sphyrna mokarran,Sphyrnidae,Sharks,gillnet,pelagic,at-vessel mortality,0.286,14,visual,ram,610,150,placental viviparity,Hueter and Manire (1994)
Negaprion brevirostris,Carcharhinidae,Sharks,gillnet,reef-associated,at-vessel mortality,0,10,visual,ram,368,60,placental viviparity,Hueter and Manire (1994)
Ginglymostoma cirratum,Ginglymostomatidae,Sharks,gillnet,reef-associated,at-vessel mortality,0,6,visual,ram,308,65,yolk-sac viviparity,Hueter and Manire (1994)
Carcharhinus brevipinna,Carcharhinidae,Sharks,gillnet,reef-associated,at-vessel mortality,0.5,2,visual,ram,304,100,placental viviparity,Hueter and Manire (1994)
Sphyrna lewini,Sphyrnidae,Sharks,gillnet,pelagic,at-vessel mortality,0.556,9,visual,ram,430,521.5,placental viviparity,Hueter and Manire (1994)
Rhinoptera bonasus,Rhinopteridae,Batoids,gillnet,benthopelagic,at-vessel mortality,0,246,visual,stationary,107,30,histotrophy,Hueter and Manire (1994)
Gymnura micrura,Gymnuridae,Batoids,gillnet,demersal,at-vessel mortality,0,2,visual,stationary,120,27.5,histotrophy,Hueter and Manire (1994)
Aetobatus narinari,Aetobatidae,Batoids,gillnet,benthopelagic,at-vessel mortality,0,1,visual,stationary,226,30,histotrophy,Hueter and Manire (1994)
Hypanus americanus,Dasyatidae,Batoids,gillnet,reef-associated,at-vessel mortality,0,5,visual,stationary,200,26.5,histotrophy,Hueter and Manire (1994)
Hypanus sabinus,Dasyatidae,Batoids,gillnet,demersal,at-vessel mortality,0,11,visual,stationary,61,13.5,histotrophy,Hueter and Manire (1994)
Cephaloscyllium laticeps,Scyliorhinidae,Sharks,gillnet,demersal,post-release mortality,0,32,captivity after fishing,stationary,150,110.5,oviparous,Bell and Lyle (2016)
Rhizoprionodon terraenovae,Carcharhinidae,Sharks,pole and line,demersal,post-release mortality,0.1,10,satellite tag,ram,178,100.5,placental viviparity,Gurshin and Szedlmayer (2004)
Negaprion brevirostris,Carcharhinidae,Sharks,pole and line,reef-associated,post-release mortality,0.125,32,visual,ram,368,60,placental viviparity,Danylchuk et al (2014)
Carcharhinus longimanus,Carcharhinidae,Sharks,purse seine,pelagic,post-release mortality,0.083,12,satellite tag,ram,350,541,placental viviparity,Bach et al (2019)
Carcharhinus longimanus,Carcharhinidae,Sharks,longline,pelagic,post-release mortality,0,3,satellite tag,ram,350,541,placental viviparity,Bach et al (2019)
Sphyrna mokarran,Sphyrnidae,Sharks,pole and line,pelagic,post-release mortality,0.5,2,satellite tag,ram,610,150,placental viviparity,Binstock et al 2023
Sphyrna lewini,Sphyrnidae,Sharks,longline,pelagic,post-release mortality,0.08,25,satellite tag,ram,430,521.5,placental viviparity,Whitney et al (2021)
Sphyrna mokarran,Sphyrnidae,Sharks,longline,pelagic,post-release mortality,0.45,20,satellite tag,ram,610,150,placental viviparity,Whitney et al (2021)
Sphyrna lewini,Sphyrnidae,Sharks,longline,pelagic,at-vessel mortality,0.156,32,visual,ram,430,521.5,placental viviparity,Whitney et al (2021)
Sphyrna mokarran,Sphyrnidae,Sharks,longline,pelagic,at-vessel mortality,0.286,28,visual,ram,610,150,placental viviparity,Whitney et al (2021)
Isurus oxyrinchus,Lamnidae,Sharks,longline,pelagic,post-release mortality,0.228,35,satellite tag,ram,445,375,oophagy,Miller et al (2020)
Raja clavata,Rajidae,Batoids,gillnet,demersal,at-vessel mortality,0.006,528,visual,stationary,130,513.5,oviparous,Clarke et al (2024)
Raja microocellata,Rajidae,Batoids,gillnet,demersal,at-vessel mortality,0,22,visual,stationary,103,56,oviparous,Clarke et al (2024)
Raja brachyura,Rajidae,Batoids,gillnet,demersal,at-vessel mortality,0,1,visual,stationary,120,455,oviparous,Clarke et al (2024)
Raja montagui,Rajidae,Batoids,gillnet,demersal,at-vessel mortality,0,21,visual,stationary,80,329,oviparous,Clarke et al (2024)
Chlamydoselachus anguineus,Chlamydoselachidae,Sharks,longline,bathydemersal,at-vessel mortality,0.8,5,visual,ram,200,785,oophagy,Moura et al (2018)
Dalatias licha,Dalatiidae,Sharks,longline,bathydemersal,at-vessel mortality,0.833,6,visual,stationary,182,95.5,yolk-sac viviparity,Moura et al (2018)
Scyliorhinus canicula,Scyliorhinidae,Sharks,longline,demersal,at-vessel mortality,0.588,160,visual,stationary,100,400.5,oviparous,Moura et al (2018)
Galeus melastomus,Pentanchidae,Sharks,longline,demersal,at-vessel mortality,0.65,20,visual,stationary,90,1027.5,oviparous,Moura et al (2018)
Orectolobus ornatus,Orectolobidae,Sharks,longline,reef-associated,at-vessel mortality,0,19,visual,stationary,290,52.5,yolk-sac viviparity,Broadhurst & Tolhurst (2021)
Orectolobus maculatus,Orectolobidae,Sharks,longline,reef-associated,at-vessel mortality,0.67,3,visual,stationary,320,124,yolk-sac viviparity,Broadhurst & Tolhurst (2021)
Orectolobus halei,Orectolobidae,Sharks,longline,demersal,at-vessel mortality,0,2,visual,stationary,256,97.5,yolk-sac viviparity,Broadhurst & Tolhurst (2021)
Scyliorhinus canicula,Scyliorhinidae,Sharks,longline,demersal,at-vessel mortality,0,18,visual,stationary,100,400.5,oviparous,Alonso-Fernandez et al (2022)
Somniosus microcephalus,Somniosidae,Sharks,longline,benthopelagic,at-vessel mortality,0,46,visual,stationary,730,1323.5,yolk-sac viviparity,Barkley et al (2016)
Mustelus antarcticus,Triakidae,Sharks,gillnet,demersal,at-vessel mortality,0.6,3697,visual,ram,185.2,175.5,yolk-sac viviparity,Walker et al (2005)
Cephaloscyllium laticeps,Scyliorhinidae,Sharks,gillnet,demersal,at-vessel mortality,0,1034,visual,stationary,150,110.5,yolk-sac viviparity,Walker et al (2005)
Pristiophorus cirratus,Pristiophoridae,Sharks,gillnet,demersal,at-vessel mortality,0.23,1008,visual,stationary,149,335,yolk-sac viviparity,Walker et al (2005)
Heterodontus portusjacksoni,Heterodontidae,Sharks,gillnet,demersal,at-vessel mortality,0,521,visual,stationary,165,137.5,oviparous,Walker et al (2005)
Squalus megalops,Squalidae,Sharks,gillnet,demersal,at-vessel mortality,0.06,254,visual,stationary,64,390,yolk-sac viviparity,Walker et al (2005)
Pristiophorus nudipinnis,Pristiophoridae,Sharks,gillnet,demersal,at-vessel mortality,0.22,223,visual,stationary,124,82.5,yolk-sac viviparity,Walker et al (2005)
Galeorhinus galeus,Triakidae,Sharks,gillnet,benthopelagic,at-vessel mortality,0.7,105,visual,ram,199,400,yolk-sac viviparity,Walker et al (2005)
Notorynchus cepedianus,Hexanchidae,Sharks,gillnet,demersal,at-vessel mortality,0.83,59,visual,ram,296,285,yolk-sac viviparity,Walker et al (2005)
Urolophus paucimaculatus,Urolophidae,Batoids,gillnet,demersal,at-vessel mortality,0.23,41,visual,stationary,,,,Walker et al (2005)
Myliobatis australis,Myliobatidae,Batoids,gillnet,reef-associated,at-vessel mortality,0.21,41,visual,,,,,Walker et al (2005)
Squatina australis,Squatinidae,Sharks,gillnet,demersal,at-vessel mortality,0.33,24,visual,stationary,152,65,yolk-sac viviparity,Walker et al (2005)
Aptychotrema vincentiana,Trygonorrhinidae,Batoids,gillnet,demersal,at-vessel mortality,0.2,5,visual,stationary,,,,Walker et al (2005)
Isurus oxyrinchus,Lamnidae,Sharks,gillnet,pelagic,at-vessel mortality,0.75,4,visual,ram,445,375,oophagy,Walker et al (2005)
Mustelus antarcticus,Triakidae,Sharks,gillnet,demersal,at-vessel mortality,0.53,928,visual,ram,185.2,175.5,yolk-sac viviparity,Walker et al (2005)
Heterodontus portusjacksoni,Heterodontidae,Sharks,gillnet,demersal,at-vessel mortality,0,257,visual,stationary,165,137.5,oviparous,Walker et al (2005)
Galeorhinus galeus,Triakidae,Sharks,gillnet,benthopelagic,at-vessel mortality,0.02,82,visual,ram,199,400,yolk-sac viviparity,Walker et al (2005)
Sphyrna zygaena,Sphyrnidae,Sharks,gillnet,pelagic,at-vessel mortality,0.03,77,visual,ram,400,100,placental viviparity,Walker et al (2005)
Squalus megalops,Squalidae,Sharks,gillnet,demersal,at-vessel mortality,0,71,visual,stationary,64,390,yolk-sac viviparity,Walker et al (2005)
Myliobatis australis,Myliobatidae,Batoids,gillnet,reef-associated,at-vessel mortality,0.09,53,visual,,,,,Walker et al (2005)
Pristiophorus cirratus,Pristiophoridae,Sharks,gillnet,demersal,at-vessel mortality,0.07,43,visual,stationary,149,335,yolk-sac viviparity,Walker et al (2005)
Carcharhinus brachyurus,Carcharhinidae,Sharks,gillnet,reef-associated,at-vessel mortality,0,42,visual,ram,322,73,placental viviparity,Walker et al (2005)
Pristiophorus nudipinnis,Pristiophoridae,Sharks,gillnet,demersal,at-vessel mortality,0.33,27,visual,stationary,124,82.5,yolk-sac viviparity,Walker et al (2005)
Notorynchus cepedianus,Hexanchidae,Sharks,gillnet,demersal,at-vessel mortality,0.79,24,visual,ram,296,285,yolk-sac viviparity,Walker et al (2005)
Alopias vulpinus,Alopiidae,Sharks,gillnet,pelagic,at-vessel mortality,0.63,19,visual,ram,573.3,325,oophagy,Walker et al (2005)
Squatina australis,Squatinidae,Sharks,gillnet,demersal,at-vessel mortality,0.11,19,visual,stationary,152,65,yolk-sac viviparity,Walker et al (2005)
Orectolobus maculatus,Orectolobidae,Sharks,gillnet,reef-associated,at-vessel mortality,0,4,visual,stationary,320,124,yolk-sac viviparity,Walker et al (2005)
Urolophus paucimaculatus,Urolophidae,Batoids,gillnet,demersal,at-vessel mortality,0.5,2,visual,stationary,,,,Walker et al (2005)
Furgaleus macki,Triakidae,Sharks,gillnet,demersal,at-vessel mortality,0,1,visual,ram,160,113.5,yolk-sac viviparity,Walker et al (2005)
Squalus acanthias,Squalidae,Sharks,gillnet,benthopelagic,at-vessel mortality,0,1,visual,stationary,200,989,yolk-sac viviparity,Walker et al (2005)
Aptychotrema vincentiana,Trygonorrhinidae,Batoids,gillnet,demersal,at-vessel mortality,0,1,visual,stationary,,,,Walker et al (2005)
Amblyraja taaf,Rajidae,Batoids,longline,bathydemersal,at-vessel mortality,0.063,93566,visual,stationary,,,,Faure et al (2024)
Centrophorus harrissoni,Centrophoridae,Sharks,longline,bathydemersal,at-vessel mortality,0.038,105,visual,stationary,111.4,520,yolk-sac viviparity,Williams et al (2013)
Centrophorus zeehaani,Centrophoridae,Sharks,longline,bathydemersal,post-release mortality,0.157,70,satellite tag,stationary,112,476.5,yolk-sac viviparity,Williams et al (2012)
