scientific_name,f,f_mort,mid_avm,mid_prm
Aulohalaelurus kanakorum,0.03626130805460128,0.019741440255711618,0.429925,0.045
Aulohalaelurus labiosus,0.07908848706977871,0.0506047684515979,0.33,0.045
Brachaelurus colcloughi,0.07908848706977871,0.0506047684515979,0.33,0.045
Brachaelurus waddi,0.09313561510014665,0.059592823321828824,0.33,0.045
Bythaelurus canescens,0.09313561510014665,0.07498022397059956,0.157,0.045
Bythaelurus clevai,0.09313561510014665,0.07498022397059956,0.157,0.045
Bythaelurus dawsoni,0.09313561510014665,0.07498022397059956,0.157,0.045
Bythaelurus hispidus,0.09313561510014665,0.07421461250630233,0.157,0.0547513572204126
Bythaelurus immaculatus,0.09313561510014665,0.07498022397059956,0.157,0.045
Bythaelurus lutarius,0.0811285324105828,0.06531374194512582,0.157,0.045
Carcharhinus acronotus,0.1494957176608832,0.056641099320212274,0.429925,0.33538379618251823
Carcharhinus albimarginatus,0.06151584463607947,0.03879436493132293,0.17903225806451611,0.23183314794215792
Carcharhinus altimus,0.0504803371039731,0.02822094062002554,0.15884057971014495,0.33538379618251823
Carcharhinus amblyrhynchoides,0.0811285324105828,0.0502291517287769,0.157,0.2655628283970689
Carcharhinus amblyrhynchos,0.05599985774999999,0.028822725151876057,0.17903225806451611,0.3730657105144148
Carcharhinus amboinensis,0.0811285324105828,0.03396724041729833,0.429925,0.2655628283970689
Carcharhinus borneensis,0.0811285324105828,0.03992115261954984,0.33,0.2655628283970689
Carcharhinus brachyurus,0.06715183425,0.030402752683423243,0.2639628482972136,0.38488645458587656
Carcharhinus brevipinna,0.11914994948388569,0.04145260333208225,0.429925,0.3897244762663623
Carcharhinus cautus,0.12508653825,0.052371766029273,0.429925,0.2655628283970689
Carcharhinus cerdale,0.0811285324105828,0.03992115261954984,0.33,0.2655628283970689
Carcharhinus coatesi,0.0811285324105828,0.030738066172535286,0.429925,0.33538379618251823
Carcharhinus falciformis,0.07234761975,0.040897090858726795,0.11501923076923076,0.361244966442953
Carcharhinus fitzroyensis,0.06351057749528352,0.03125183436467821,0.33,0.2655628283970689
Carcharhinus galapagensis,0.11689088037793594,0.05840285019018447,0.2177977207977208,0.361244966442953
Carcharhinus hemiodon,0.06351057749528352,0.03430092622060932,0.11501923076923076,0.3897244762663623
