scientific_name,evol_dist,family,group
Nebrius ferrugineus,112.4226611253125,Ginglymostomatidae,Sharks
Stegostoma tigrinum,64.26559897765625,Stegostomatidae,Sharks
Stegostoma tigrinum,64.26559897765625,Stegostomidae,Sharks
Ginglymostoma cirratum,64.26559897765625,Ginglymostomatidae,Sharks
Ginglymostoma cirratum,64.26559897765625,Ginglymostomatidae,Sharks
Hemiscyllium michaeli,47.851233598906255,Hemiscylliidae,Sharks
Hemiscyllium hallstromi,47.851233598906255,Hemiscylliidae,Sharks
Hemiscyllium ocellatum,33.98365791690313,Hemiscylliidae,Sharks
Hemiscyllium henryi,33.98365791690313,Hemiscylliidae,Sharks
Hemiscyllium galei,23.974341623501562,Hemiscylliidae,Sharks
Hemiscyllium trispeculare,23.974341623501562,Hemiscylliidae,Sharks
Hemiscyllium strahani,24.909088414501564,Hemiscylliidae,Sharks
Hemiscyllium freycineti,24.909088414501564,Hemiscylliidae,Sharks
Chiloscyllium burmensis,52.00679930682813,Hemiscylliidae,Sharks
Chiloscyllium punctatum,52.006798306828124,Hemiscylliidae,Sharks
Chiloscyllium arabicum,36.62449752691406,Hemiscylliidae,Sharks
Chiloscyllium indicum,36.62449652691406,Hemiscylliidae,Sharks
Chiloscyllium plagiosum,69.09763021182812,Hemiscylliidae,Sharks
Chiloscyllium griseum,56.70035955295625,Hemiscylliidae,Sharks
Mitsukurina owstoni,216.9262635,Mitsukurinidae,Sharks
Alopias superciliosus,149.663096,Alopiidae,Sharks
Alopias vulpinus,103.28868872609375,Lamnidae,Sharks
Alopias vulpinus,103.28868872609375,Alopiidae,Sharks
Megachasma pelagios,50.97438431402344,Megachasmidae,Sharks
Pseudocarcharias kamoharai,50.97438431402344,Pseudocarchariidae,Sharks
Pseudocarcharias kamoharai,50.97438431402344,Triakidae,Sharks
Alopias pelagicus,81.64111947804687,Alopiidae,Sharks
Odontaspis noronhai,76.57725237109375,Odontaspididae,Sharks
Odontaspis ferox,76.57725237109375,Odontaspididae,Sharks
Carcharias taurus,160.514239,Lamnidae,Sharks
Carcharias taurus,160.514239,Odontaspididae,Sharks
Cetorhinus maximus,143.2174905471875,Cetorhinidae,Sharks
Lamna ditropis,91.45094025679688,Lamnidae,Sharks
Lamna nasus,91.45094025679688,Lamnidae,Sharks
Carcharodon carcharias,102.08985735779689,Lamnidae,Sharks
Isurus oxyrinchus,84.25894999889843,Lamnidae,Sharks
Isurus paucus,84.25894999889843,Lamnidae,Sharks
Cephalurus cephalus,114.7505900567625,Pentanchidae,Sharks
Poroderma pantherinum,59.22751485538125,Scyliorhinidae,Sharks
Poroderma africanum,59.22751485538125,Scyliorhinidae,Sharks
Scyliorhinus retifer,23.173082181672655,Scyliorhinidae,Sharks
Scyliorhinus cervigoni,18.474323334493164,Scyliorhinidae,Sharks
Scyliorhinus boa,20.480048537422654,Scyliorhinidae,Sharks
Scyliorhinus stellaris,20.480048537422654,Scyliorhinidae,Sharks
Scyliorhinus canicula,40.64807498484531,Scyliorhinidae,Sharks
Scyliorhinus capensis,20.306112978422657,Scyliorhinidae,Sharks
Scyliorhinus comoroensis,11.292572299211328,Scyliorhinidae,Sharks
Scyliorhinus haeckelii,33.66369727084531,Scyliorhinidae,Sharks
Cephaloscyllium silasi,67.32341334459531,Scyliorhinidae,Sharks
Cephaloscyllium signourum,31.30352348864883,Scyliorhinidae,Sharks
Cephaloscyllium sarawakensis,21.23475984507441,Scyliorhinidae,Sharks
Cephaloscyllium albipinnum,21.63000493,Scyliorhinidae,Sharks
Cephaloscyllium hiscosellum,11.583769134321802,Scyliorhinidae,Sharks
Cephaloscyllium laticeps,15.397366705821801,Scyliorhinidae,Sharks
Cephaloscyllium speccum,15.397365705821802,Scyliorhinidae,Sharks
Cephaloscyllium sufflans,15.293309578821802,Scyliorhinidae,Sharks
Cephaloscyllium umbratile,15.213643725393602,Scyliorhinidae,Sharks
