scientific_name,estimate,family,habitat,max_size_cm,ventilation_method,reproductive_mode,median_depth,ac,order,source,genus,species
Carcharhinus signatus,0.655172414,Carcharhinidae,pelagic,280,ram,matrotrophic viviparity,300,10.667,Carcharhiniformes,Gilman et al (2022),Carcharhinus,signatus
Carcharhinus signatus,1,Carcharhinidae,pelagic,280,ram,matrotrophic viviparity,300,10.667,Carcharhiniformes,Gilman et al (2022),Carcharhinus,signatus
Carcharhinus signatus,0.817629179,Carcharhinidae,pelagic,280,ram,matrotrophic viviparity,300,10.667,Carcharhiniformes,Gilman et al (2022),Carcharhinus,signatus
Carcharhinus signatus,0.866666667,Carcharhinidae,pelagic,280,ram,matrotrophic viviparity,300,10.667,Carcharhiniformes,Gilman et al (2022),Carcharhinus,signatus
Carcharhinus signatus,0.648648649,Carcharhinidae,pelagic,280,ram,matrotrophic viviparity,300,10.667,Carcharhiniformes,Gilman et al (2022),Carcharhinus,signatus
Carcharhinus signatus,1,Carcharhinidae,pelagic,280,ram,matrotrophic viviparity,300,10.667,Carcharhiniformes,Gilman et al (2022),Carcharhinus,signatus
Carcharhinus signatus,0.55,Carcharhinidae,pelagic,280,ram,matrotrophic viviparity,300,10.667,Carcharhiniformes,Gilman et al (2022),Carcharhinus,signatus
Carcharhinus signatus,1,Carcharhinidae,pelagic,280,ram,matrotrophic viviparity,300,10.667,Carcharhiniformes,Gilman et al (2022),Carcharhinus,signatus
Carcharhinus signatus,0.8,Carcharhinidae,pelagic,280,ram,matrotrophic viviparity,300,10.667,Carcharhiniformes,Gilman et al (2022),Carcharhinus,signatus
Carcharhinus signatus,1,Carcharhinidae,pelagic,280,ram,matrotrophic viviparity,300,10.667,Carcharhiniformes,Gilman et al (2022),Carcharhinus,signatus
Carcharhinus longimanus,0.291666667,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,Gilman et al (2022),Carcharhinus,longimanus
Carcharhinus longimanus,0.138888889,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,Gilman et al (2022),Carcharhinus,longimanus
Carcharhinus longimanus,0,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,Gilman et al (2022),Carcharhinus,longimanus
Carcharhinus longimanus,0.213114754,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,Gilman et al (2022),Carcharhinus,longimanus
Carcharhinus longimanus,0.304347826,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,Gilman et al (2022),Carcharhinus,longimanus
Carcharhinus longimanus,0.272727273,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,Gilman et al (2022),Carcharhinus,longimanus
Carcharhinus longimanus,0.5,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,Gilman et al (2022),Carcharhinus,longimanus
Carcharhinus longimanus,0.305555556,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,Gilman et al (2022),Carcharhinus,longimanus
Carcharhinus longimanus,0,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,Gilman et al (2022),Carcharhinus,longimanus
Carcharhinus longimanus,0,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,Gilman et al (2022),Carcharhinus,longimanus
Carcharhinus longimanus,0.5,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,Gilman et al (2022),Carcharhinus,longimanus
Lamna nasus,1,Lamnidae,pelagic,365,ram,matrotrophic viviparity,904.5,6.2338,Lamniformes,Gilman et al (2022),Lamna,nasus
Lamna nasus,0,Lamnidae,pelagic,365,ram,matrotrophic viviparity,904.5,6.2338,Lamniformes,Gilman et al (2022),Lamna,nasus
Lamna nasus,0,Lamnidae,pelagic,365,ram,matrotrophic viviparity,904.5,6.2338,Lamniformes,Gilman et al (2022),Lamna,nasus
Carcharias taurus,1,Odontaspididae,pelagic,325,ram,matrotrophic viviparity,116,9.0956,Lamniformes,Gilman et al (2022),Carcharias,taurus
Carcharias taurus,0,Odontaspididae,pelagic,325,ram,matrotrophic viviparity,116,9.0956,Lamniformes,Gilman et al (2022),Carcharias,taurus
Carcharias taurus,0,Odontaspididae,pelagic,325,ram,matrotrophic viviparity,116,9.0956,Lamniformes,Gilman et al (2022),Carcharias,taurus
Carcharhinus plumbeus,0.157894737,Carcharhinidae,pelagic,243,ram,matrotrophic viviparity,140,15.327,Carcharhiniformes,Gilman et al (2022),Carcharhinus,plumbeus
Carcharhinus plumbeus,0.167701863,Carcharhinidae,pelagic,243,ram,matrotrophic viviparity,140,15.327,Carcharhiniformes,Gilman et al (2022),Carcharhinus,plumbeus
Carcharhinus plumbeus,0.285714286,Carcharhinidae,pelagic,243,ram,matrotrophic viviparity,140,15.327,Carcharhiniformes,Gilman et al (2022),Carcharhinus,plumbeus
Carcharhinus plumbeus,0.25,Carcharhinidae,pelagic,243,ram,matrotrophic viviparity,140,15.327,Carcharhiniformes,Gilman et al (2022),Carcharhinus,plumbeus
Carcharhinus plumbeus,0,Carcharhinidae,pelagic,243,ram,matrotrophic viviparity,140,15.327,Carcharhiniformes,Gilman et al (2022),Carcharhinus,plumbeus
Carcharhinus plumbeus,0,Carcharhinidae,pelagic,243,ram,matrotrophic viviparity,140,15.327,Carcharhiniformes,Gilman et al (2022),Carcharhinus,plumbeus
Carcharhinus plumbeus,0.25,Carcharhinidae,pelagic,243,ram,matrotrophic viviparity,140,15.327,Carcharhiniformes,Gilman et al (2022),Carcharhinus,plumbeus
Carcharhinus plumbeus,0.5,Carcharhinidae,pelagic,243,ram,matrotrophic viviparity,140,15.327,Carcharhiniformes,Gilman et al (2022),Carcharhinus,plumbeus
Carcharhinus plumbeus,0.1,Carcharhinidae,pelagic,243,ram,matrotrophic viviparity,140,15.327,Carcharhiniformes,Gilman et al (2022),Carcharhinus,plumbeus
Carcharhinus plumbeus,0.1,Carcharhinidae,pelagic,243,ram,matrotrophic viviparity,140,15.327,Carcharhiniformes,Gilman et al (2022),Carcharhinus,plumbeus
Carcharhinus plumbeus,0,Carcharhinidae,pelagic,243,ram,matrotrophic viviparity,140,15.327,Carcharhiniformes,Gilman et al (2022),Carcharhinus,plumbeus
Sphyrna lewini,0.544642857,Sphyrnidae,pelagic,430,ram,matrotrophic viviparity,521.5,14.608,Carcharhiniformes,Gilman et al (2022),Sphyrna,lewini
Sphyrna lewini,0.333333333,Sphyrnidae,pelagic,430,ram,matrotrophic viviparity,521.5,14.608,Carcharhiniformes,Gilman et al (2022),Sphyrna,lewini
Sphyrna lewini,0.519823789,Sphyrnidae,pelagic,430,ram,matrotrophic viviparity,521.5,14.608,Carcharhiniformes,Gilman et al (2022),Sphyrna,lewini
Sphyrna lewini,0.4,Sphyrnidae,pelagic,430,ram,matrotrophic viviparity,521.5,14.608,Carcharhiniformes,Gilman et al (2022),Sphyrna,lewini
Sphyrna lewini,0.404135338,Sphyrnidae,pelagic,430,ram,matrotrophic viviparity,521.5,14.608,Carcharhiniformes,Gilman et al (2022),Sphyrna,lewini
Sphyrna lewini,0.666666667,Sphyrnidae,pelagic,430,ram,matrotrophic viviparity,521.5,14.608,Carcharhiniformes,Gilman et al (2022),Sphyrna,lewini
Sphyrna lewini,1,Sphyrnidae,pelagic,430,ram,matrotrophic viviparity,521.5,14.608,Carcharhiniformes,Gilman et al (2022),Sphyrna,lewini
Sphyrna lewini,0.285714286,Sphyrnidae,pelagic,430,ram,matrotrophic viviparity,521.5,14.608,Carcharhiniformes,Gilman et al (2022),Sphyrna,lewini
Sphyrna lewini,0.590909091,Sphyrnidae,pelagic,430,ram,matrotrophic viviparity,521.5,14.608,Carcharhiniformes,Gilman et al (2022),Sphyrna,lewini
Sphyrna lewini,0.75,Sphyrnidae,pelagic,430,ram,matrotrophic viviparity,521.5,14.608,Carcharhiniformes,Gilman et al (2022),Sphyrna,lewini
Sphyrna lewini,0,Sphyrnidae,pelagic,430,ram,matrotrophic viviparity,521.5,14.608,Carcharhiniformes,Gilman et al (2022),Sphyrna,lewini
Heptranchias perlo,0,Hexanchidae,demersal,140,ram,lecithotrophic viviparity,500,11.532,Hexanchiformes,Gilman et al (2022),Heptranchias,perlo
Isurus oxyrinchus,0.292397661,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Isurus oxyrinchus,0,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Isurus oxyrinchus,0.383333333,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Isurus oxyrinchus,0.186046512,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Isurus oxyrinchus,0.5,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Isurus oxyrinchus,0.302083333,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Isurus oxyrinchus,0.333333333,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Isurus oxyrinchus,0,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Isurus oxyrinchus,0.307692308,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Isurus oxyrinchus,0.307692308,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Isurus oxyrinchus,0,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Isurus oxyrinchus,0.519230769,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Isurus oxyrinchus,0.272727273,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Isurus oxyrinchus,0.166666667,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Isurus oxyrinchus,0,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Isurus oxyrinchus,0.125,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Carcharhinus falciformis,0.497767857,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Carcharhinus falciformis,0.372631579,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Carcharhinus falciformis,0.313432836,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Carcharhinus falciformis,0.429338104,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Carcharhinus falciformis,1,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Carcharhinus falciformis,0.442307692,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Carcharhinus falciformis,1,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Carcharhinus falciformis,0.597733711,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Carcharhinus falciformis,0.130434783,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Carcharhinus falciformis,0.475,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Carcharhinus falciformis,0,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Carcharhinus falciformis,1,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Carcharhinus falciformis,0.47761194,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Carcharhinus falciformis,0.466666667,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Carcharhinus falciformis,0.487179487,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Carcharhinus falciformis,0.657894737,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Mustelus canis,1,Triakidae,demersal,155,ram,lecithotrophic viviparity,404,8.0434,,Gilman et al (2022),Mustelus,canis
Sphyrna zygaena,0.2,Sphyrnidae,pelagic,400,ram,matrotrophic viviparity,100,10.906,Carcharhiniformes,Gilman et al (2022),Sphyrna,zygaena
Sphyrna zygaena,1,Sphyrnidae,pelagic,400,ram,matrotrophic viviparity,100,10.906,Carcharhiniformes,Gilman et al (2022),Sphyrna,zygaena
Sphyrna zygaena,0.5,Sphyrnidae,pelagic,400,ram,matrotrophic viviparity,100,10.906,Carcharhiniformes,Gilman et al (2022),Sphyrna,zygaena
Carcharhinus brevipinna,0.681818182,Carcharhinidae,pelagic,304,ram,matrotrophic viviparity,100,10.685,Carcharhiniformes,Gilman et al (2022),Carcharhinus,brevipinna
Carcharhinus brevipinna,0,Carcharhinidae,pelagic,304,ram,matrotrophic viviparity,100,10.685,Carcharhiniformes,Gilman et al (2022),Carcharhinus,brevipinna
Carcharhinus brevipinna,0.73015873,Carcharhinidae,pelagic,304,ram,matrotrophic viviparity,100,10.685,Carcharhiniformes,Gilman et al (2022),Carcharhinus,brevipinna
Carcharhinus brevipinna,0.777777778,Carcharhinidae,pelagic,304,ram,matrotrophic viviparity,100,10.685,Carcharhiniformes,Gilman et al (2022),Carcharhinus,brevipinna
Carcharhinus brevipinna,1,Carcharhinidae,pelagic,304,ram,matrotrophic viviparity,100,10.685,Carcharhiniformes,Gilman et al (2022),Carcharhinus,brevipinna
Carcharhinus brevipinna,0.5,Carcharhinidae,pelagic,304,ram,matrotrophic viviparity,100,10.685,Carcharhiniformes,Gilman et al (2022),Carcharhinus,brevipinna
Carcharhinus brevipinna,1,Carcharhinidae,pelagic,304,ram,matrotrophic viviparity,100,10.685,Carcharhiniformes,Gilman et al (2022),Carcharhinus,brevipinna
Carcharhinus brevipinna,0.25,Carcharhinidae,pelagic,304,ram,matrotrophic viviparity,100,10.685,Carcharhiniformes,Gilman et al (2022),Carcharhinus,brevipinna
Squalus acanthias,0,Squalidae,pelagic,200,stationary,lecithotrophic viviparity,989,8.2153,Squaliformes,Gilman et al (2022),Squalus,acanthias
Galeocerdo cuvier,0.045774648,Carcharhinidae,pelagic,740,ram,matrotrophic viviparity,556,12.342,,Gilman et al (2022),Galeocerdo,cuvier
Galeocerdo cuvier,0,Carcharhinidae,pelagic,740,ram,matrotrophic viviparity,556,12.342,,Gilman et al (2022),Galeocerdo,cuvier
Galeocerdo cuvier,0.062222222,Carcharhinidae,pelagic,740,ram,matrotrophic viviparity,556,12.342,,Gilman et al (2022),Galeocerdo,cuvier
Galeocerdo cuvier,0.070175439,Carcharhinidae,pelagic,740,ram,matrotrophic viviparity,556,12.342,,Gilman et al (2022),Galeocerdo,cuvier
Galeocerdo cuvier,0.040776699,Carcharhinidae,pelagic,740,ram,matrotrophic viviparity,556,12.342,,Gilman et al (2022),Galeocerdo,cuvier
Galeocerdo cuvier,0.166666667,Carcharhinidae,pelagic,740,ram,matrotrophic viviparity,556,12.342,,Gilman et al (2022),Galeocerdo,cuvier
Galeocerdo cuvier,0,Carcharhinidae,pelagic,740,ram,matrotrophic viviparity,556,12.342,,Gilman et al (2022),Galeocerdo,cuvier
Galeocerdo cuvier,0,Carcharhinidae,pelagic,740,ram,matrotrophic viviparity,556,12.342,,Gilman et al (2022),Galeocerdo,cuvier
Galeocerdo cuvier,0,Carcharhinidae,pelagic,740,ram,matrotrophic viviparity,556,12.342,,Gilman et al (2022),Galeocerdo,cuvier
Galeocerdo cuvier,0,Carcharhinidae,pelagic,740,ram,matrotrophic viviparity,556,12.342,,Gilman et al (2022),Galeocerdo,cuvier
Galeocerdo cuvier,0.055555556,Carcharhinidae,pelagic,740,ram,matrotrophic viviparity,556,12.342,,Gilman et al (2022),Galeocerdo,cuvier
Galeocerdo cuvier,0,Carcharhinidae,pelagic,740,ram,matrotrophic viviparity,556,12.342,,Gilman et al (2022),Galeocerdo,cuvier
Galeocerdo cuvier,0.142857143,Carcharhinidae,pelagic,740,ram,matrotrophic viviparity,556,12.342,,Gilman et al (2022),Galeocerdo,cuvier
Galeocerdo cuvier,0,Carcharhinidae,pelagic,740,ram,matrotrophic viviparity,556,12.342,,Gilman et al (2022),Galeocerdo,cuvier
Scymnodon ichiharai,0,Somniosidae,pelagic,151.1,stationary,lecithotrophic viviparity,640,3.9064,,Gilman et al (2022),Scymnodon,ichiharai
Scymnodon ichiharai,1,Somniosidae,pelagic,151.1,stationary,lecithotrophic viviparity,640,3.9064,,Gilman et al (2022),Scymnodon,ichiharai
Cetorhinus maximus,0.5,Cetorhinidae,pelagic,1097.3,ram,matrotrophic viviparity,632,7.3075,,Gilman et al (2022),Cetorhinus,maximus
Cetorhinus maximus,0,Cetorhinidae,pelagic,1097.3,ram,matrotrophic viviparity,632,7.3075,,Gilman et al (2022),Cetorhinus,maximus
Cetorhinus maximus,0,Cetorhinidae,pelagic,1097.3,ram,matrotrophic viviparity,632,7.3075,,Gilman et al (2022),Cetorhinus,maximus
Cetorhinus maximus,0,Cetorhinidae,pelagic,1097.3,ram,matrotrophic viviparity,632,7.3075,,Gilman et al (2022),Cetorhinus,maximus
Alopias superciliosus,0.5,Alopiidae,pelagic,484,ram,matrotrophic viviparity,361.5,11.023,Lamniformes,Gilman et al (2022),Alopias,superciliosus
Alopias superciliosus,0.533333333,Alopiidae,pelagic,484,ram,matrotrophic viviparity,361.5,11.023,Lamniformes,Gilman et al (2022),Alopias,superciliosus
Alopias superciliosus,0.5,Alopiidae,pelagic,484,ram,matrotrophic viviparity,361.5,11.023,Lamniformes,Gilman et al (2022),Alopias,superciliosus
Alopias superciliosus,0.315789474,Alopiidae,pelagic,484,ram,matrotrophic viviparity,361.5,11.023,Lamniformes,Gilman et al (2022),Alopias,superciliosus
Alopias superciliosus,0.666666667,Alopiidae,pelagic,484,ram,matrotrophic viviparity,361.5,11.023,Lamniformes,Gilman et al (2022),Alopias,superciliosus
Alopias superciliosus,0.503597122,Alopiidae,pelagic,484,ram,matrotrophic viviparity,361.5,11.023,Lamniformes,Gilman et al (2022),Alopias,superciliosus
Alopias superciliosus,0.5,Alopiidae,pelagic,484,ram,matrotrophic viviparity,361.5,11.023,Lamniformes,Gilman et al (2022),Alopias,superciliosus
Alopias superciliosus,0.34,Alopiidae,pelagic,484,ram,matrotrophic viviparity,361.5,11.023,Lamniformes,Gilman et al (2022),Alopias,superciliosus
Alopias superciliosus,0.375,Alopiidae,pelagic,484,ram,matrotrophic viviparity,361.5,11.023,Lamniformes,Gilman et al (2022),Alopias,superciliosus
Alopias superciliosus,1,Alopiidae,pelagic,484,ram,matrotrophic viviparity,361.5,11.023,Lamniformes,Gilman et al (2022),Alopias,superciliosus
Alopias superciliosus,0.473684211,Alopiidae,pelagic,484,ram,matrotrophic viviparity,361.5,11.023,Lamniformes,Gilman et al (2022),Alopias,superciliosus
Alopias superciliosus,0.268292683,Alopiidae,pelagic,484,ram,matrotrophic viviparity,361.5,11.023,Lamniformes,Gilman et al (2022),Alopias,superciliosus
Alopias superciliosus,0,Alopiidae,pelagic,484,ram,matrotrophic viviparity,361.5,11.023,Lamniformes,Gilman et al (2022),Alopias,superciliosus
Alopias superciliosus,0.363636364,Alopiidae,pelagic,484,ram,matrotrophic viviparity,361.5,11.023,Lamniformes,Gilman et al (2022),Alopias,superciliosus
Carcharhinus altimus,0,Carcharhinidae,pelagic,300,ram,matrotrophic viviparity,405,17.283,Carcharhiniformes,Gilman et al (2022),Carcharhinus,altimus
Carcharhinus altimus,1,Carcharhinidae,pelagic,300,ram,matrotrophic viviparity,405,17.283,Carcharhiniformes,Gilman et al (2022),Carcharhinus,altimus
Carcharhinus altimus,0.6875,Carcharhinidae,pelagic,300,ram,matrotrophic viviparity,405,17.283,Carcharhiniformes,Gilman et al (2022),Carcharhinus,altimus
Carcharhinus altimus,0.5,Carcharhinidae,pelagic,300,ram,matrotrophic viviparity,405,17.283,Carcharhiniformes,Gilman et al (2022),Carcharhinus,altimus
Carcharhinus altimus,0,Carcharhinidae,pelagic,300,ram,matrotrophic viviparity,405,17.283,Carcharhiniformes,Gilman et al (2022),Carcharhinus,altimus
Carcharhinus acronotus,1,Carcharhinidae,pelagic,164,ram,matrotrophic viviparity,51.5,8.3419,Carcharhiniformes,Gilman et al (2022),Carcharhinus,acronotus
Carcharhinus acronotus,1,Carcharhinidae,pelagic,164,ram,matrotrophic viviparity,51.5,8.3419,Carcharhiniformes,Gilman et al (2022),Carcharhinus,acronotus
Carcharhinus limbatus,0.294117647,Carcharhinidae,pelagic,286,ram,matrotrophic viviparity,70,7.7253,Carcharhiniformes,Gilman et al (2022),Carcharhinus,limbatus
Carcharhinus limbatus,1,Carcharhinidae,pelagic,286,ram,matrotrophic viviparity,70,7.7253,Carcharhiniformes,Gilman et al (2022),Carcharhinus,limbatus
Carcharhinus limbatus,0.333333333,Carcharhinidae,pelagic,286,ram,matrotrophic viviparity,70,7.7253,Carcharhiniformes,Gilman et al (2022),Carcharhinus,limbatus
Carcharhinus limbatus,0.8,Carcharhinidae,pelagic,286,ram,matrotrophic viviparity,70,7.7253,Carcharhiniformes,Gilman et al (2022),Carcharhinus,limbatus
Carcharhinus limbatus,0.615384615,Carcharhinidae,pelagic,286,ram,matrotrophic viviparity,70,7.7253,Carcharhiniformes,Gilman et al (2022),Carcharhinus,limbatus
Carcharhinus limbatus,0.633333333,Carcharhinidae,pelagic,286,ram,matrotrophic viviparity,70,7.7253,Carcharhiniformes,Gilman et al (2022),Carcharhinus,limbatus
Carcharhinus limbatus,0.647058824,Carcharhinidae,pelagic,286,ram,matrotrophic viviparity,70,7.7253,Carcharhiniformes,Gilman et al (2022),Carcharhinus,limbatus
Carcharhinus limbatus,1,Carcharhinidae,pelagic,286,ram,matrotrophic viviparity,70,7.7253,Carcharhiniformes,Gilman et al (2022),Carcharhinus,limbatus
Carcharhinus limbatus,0.454545455,Carcharhinidae,pelagic,286,ram,matrotrophic viviparity,70,7.7253,Carcharhiniformes,Gilman et al (2022),Carcharhinus,limbatus
Prionace glauca,0,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Prionace glauca,0.114729047,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Prionace glauca,0.186224075,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Prionace glauca,0.11682243,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Prionace glauca,0.100591716,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Prionace glauca,0.033333333,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Prionace glauca,0.098462601,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Prionace glauca,0.181034483,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Prionace glauca,0.833333333,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Prionace glauca,0,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Prionace glauca,0.151351351,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Prionace glauca,0.046511628,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Prionace glauca,0.129420085,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Prionace glauca,0.087774295,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Prionace glauca,0.086956522,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Prionace glauca,0.027027027,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Prionace glauca,0,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Prionace glauca,0.133884667,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Prionace glauca,0,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Prionace glauca,0.170968566,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Prionace glauca,0.073684211,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Prionace glauca,0.209876543,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Prionace glauca,0.131578947,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Prionace glauca,0.19929834,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
