scientific_name,estimate,family,habitat,max_size_cm,ventilation_method,reproductive_mode,median_depth,ac,order,source,genus,species
Squatina tergocellata,,Squatinidae,demersal,140,stationary,lecithotrophic viviparity,264,11.331,Squatiniformes,this study,Squatina,tergocellata
Sutorectus tentaculatus,,Orectolobidae,pelagic,92,stationary,lecithotrophic viviparity,17.5,5.63975,Orectolobiformes,this study,Sutorectus,tentaculatus
Carcharhinus coatesi,,Carcharhinidae,pelagic,87,ram,matrotrophic viviparity,61.5,9.92492714,,this study,Carcharhinus,coatesi
Carcharhinus tjutjot,,Carcharhinidae,pelagic,93.69999695,ram,matrotrophic viviparity,50,9.92492714,,this study,Carcharhinus,tjutjot
Mustelus californicus,,Triakidae,demersal,116,ram,lecithotrophic viviparity,100,6.1316,,this study,Mustelus,californicus
Mustelus henlei,,Triakidae,demersal,100,ram,lecithotrophic viviparity,140.5,5.3593,,this study,Mustelus,henlei
Mustelus lunulatus,,Triakidae,demersal,175,ram,lecithotrophic viviparity,104.5,11.937,,this study,Mustelus,lunulatus
Triakis semifasciata,,Triakidae,demersal,213.4,ram,lecithotrophic viviparity,78,6.2621,Carcharhiniformes,this study,Triakis,semifasciata
Centroscyllium nigrum,,Etmopteridae,pelagic,51,stationary,lecithotrophic viviparity,719.5,6.0349,Squaliformes,this study,Centroscyllium,nigrum
Carcharhinus leiodon,,Carcharhinidae,demersal,165,ram,matrotrophic viviparity,35,9.92492714,Carcharhiniformes,this study,Carcharhinus,leiodon
Halaelurus boesemani,,Pentanchidae,demersal,48,stationary,lecithotrophic oviparity,143.5,7.4014,,this study,Halaelurus,boesemani
Squatina legnota,,Squatinidae,benthopelagic,134.1,stationary,lecithotrophic viviparity,100,10.32279231,,this study,Squatina,legnota
Carcharhinus obsoletus,,Carcharhinidae,demersal,100,ram,matrotrophic viviparity,25,9.92492714,,this study,Carcharhinus,obsoletus
Mustelus lenticulatus,,Triakidae,demersal,151,ram,lecithotrophic viviparity,110.5,5.8063,,this study,Mustelus,lenticulatus
Cephaloscyllium isabellum,,Scyliorhinidae,pelagic,150,stationary,lecithotrophic viviparity,399.5,6.3707,,this study,Cephaloscyllium,isabellum
Gollum attenuatus,,Pseudotriakidae,demersal,107,ram,lecithotrophic viviparity,390,4.8018,,this study,Gollum,attenuatus
Squalus melanurus,,Squalidae,demersal,75,stationary,lecithotrophic viviparity,330,7.039,,this study,Squalus,melanurus
Somniosus longus,,Somniosidae,demersal,143.3,stationary,lecithotrophic viviparity,683,3.75285,,this study,Somniosus,longus
Squalus bucephalus,,Squalidae,pelagic,90,stationary,lecithotrophic viviparity,664,7.737926667,,this study,Squalus,bucephalus
Scymnodon ringens,,Somniosidae,pelagic,110,stationary,lecithotrophic viviparity,900,3.9064,,this study,Scymnodon,ringens
Squalus griffini,,Squalidae,demersal,110,stationary,lecithotrophic viviparity,493.5,6.3253,,this study,Squalus,griffini
Squatina aculeata,,Squatinidae,demersal,188,stationary,lecithotrophic viviparity,265,19.152,Squatiniformes,this study,Squatina,aculeata
Squatina oculata,,Squatinidae,demersal,160,stationary,lecithotrophic viviparity,255,9.3887,,this study,Squatina,oculata
Squatina armata,,Squatinidae,demersal,150,stationary,lecithotrophic viviparity,52.5,22.209,Squatiniformes,this study,Squatina,armata
Squatina argentina,,Squatinidae,demersal,1380,stationary,lecithotrophic viviparity,228.5,10.32279231,,this study,Squatina,argentina
Centroscymnus macracanthus,,Somniosidae,demersal,170,stationary,lecithotrophic viviparity,884.5,5.14775,,this study,Centroscymnus,macracanthus
Etmopterus viator,,Etmopteridae,demersal,39.09999847,stationary,lecithotrophic viviparity,1115,6.274288889,,this study,Etmopterus,viator
Squatina caillieti,,Squatinidae,demersal,32.8,stationary,lecithotrophic viviparity,374,10.32279231,,this study,Squatina,caillieti
Squatina david,,Squatinidae,demersal,79,stationary,lecithotrophic viviparity,213,10.32279231,,this study,Squatina,david
Squatina squatina,,Squatinidae,demersal,244,stationary,lecithotrophic viviparity,76,10.32279231,Squatiniformes,this study,Squatina,squatina
Haploblepharus edwardsii,,Pentanchidae,demersal,64,stationary,lecithotrophic oviparity,65,6.5184,,this study,Haploblepharus,edwardsii
Poroderma africanum,,Scyliorhinidae,demersal,101,stationary,lecithotrophic oviparity,50,6.2518,,this study,Poroderma,africanum
Hemitriakis leucoperiptera,,Triakidae,demersal,96,ram,lecithotrophic viviparity,24.5,5.9831,Carcharhiniformes,this study,Hemitriakis,leucoperiptera
Hypogaleus hyugaensis,,Triakidae,demersal,127,ram,lecithotrophic viviparity,135,7.1291,,this study,Hypogaleus,hyugaensis
Mustelus asterias,,Triakidae,demersal,140,ram,lecithotrophic viviparity,99.5,6.9015,,this study,Mustelus,asterias
Triakis acutipinna,,Triakidae,demersal,112,ram,lecithotrophic viviparity,260,6.0669,,this study,Triakis,acutipinna
Triakis megalopterus,,Triakidae,demersal,207.5,ram,lecithotrophic viviparity,25,5.8717,Carcharhiniformes,this study,Triakis,megalopterus
Carcharhinus borneensis,,Carcharhinidae,demersal,70,ram,matrotrophic viviparity,25,9.92492714,Carcharhiniformes,this study,Carcharhinus,borneensis
Cirrhigaleus barbifer,,Squalidae,demersal,126,stationary,lecithotrophic viviparity,395,8.3281,Squaliformes,this study,Cirrhigaleus,barbifer
Chiloscyllium punctatum,,Hemiscylliidae,pelagic,132,stationary,lecithotrophic oviparity,42.5,10.693,Orectolobiformes,this study,Chiloscyllium,punctatum
Odontaspis ferox,,Odontaspididae,pelagic,450,ram,matrotrophic viviparity,512.5,6.0088,,this study,Odontaspis,ferox
Apristurus melanoasper,,Pentanchidae,pelagic,76.09999847,stationary,lecithotrophic oviparity,1016,3.3655,,this study,Apristurus,melanoasper
Apristurus fedorovi,,Pentanchidae,pelagic,68.30000305,stationary,lecithotrophic oviparity,800,2.41305,,this study,Apristurus,fedorovi
Apristurus longicephalus,,Pentanchidae,demersal,60,stationary,lecithotrophic oviparity,815,1.4606,,this study,Apristurus,longicephalus
