scientific_name,eo,ac
Hemitriakis complicofasciata,NA,NA
Hemitriakis indroyonoi,NA,NA
Hemitriakis leucoperiptera,NA,NA
Heterodontus japonicus,NA,NA
Heterodontus omanensis,NA,NA
Heterodontus ramalheira,NA,NA
Hexanchus vitulus,NA,NA
Holohalaelurus favus,NA,NA
Holohalaelurus grennian,NA,NA
Holohalaelurus melanostigma,NA,NA
Iago omanensis,NA,NA
Isistius plutodus,NA,NA
Isogomphodon oxyrhynchus,NA,NA
Lamiopsis temminckii,NA,NA
Lamiopsis tephrodes,NA,NA
Lamna ditropis,NA,NA
Mustelus albipinnis,NA,NA
Mustelus andamanensis,NA,NA
Mustelus higmani,NA,NA
Mustelus minicanis,NA,NA
Mustelus ravidus,NA,NA
Mustelus whitneyi,NA,NA
Mustelus widodoi,NA,NA
Odontaspis noronhai,NA,NA
Orectolobus floridus,NA,NA
Orectolobus japonicus,NA,NA
Orectolobus leptolineatus,NA,NA
Orectolobus parvimaculatus,NA,NA
Orectolobus reticulatus,NA,NA
Orectolobus wardi,NA,NA
Oxynotus bruniensis,NA,NA
Oxynotus caribbaeus,NA,NA
Oxynotus japonicus,NA,NA
Oxynotus paradoxus,NA,NA
Paragaleus leucolomatus,NA,NA
Paragaleus pectoralis,NA,NA
Paragaleus randalli,NA,NA
Paragaleus tengi,NA,NA
Parascyllium ferrugineum,NA,NA
Parascyllium sparsimaculatum,NA,NA
Parmaturus angelae,NA,NA
Parmaturus lanatus,NA,NA
Parmaturus melanobranchus,NA,NA
Parmaturus pilosus,NA,NA
Pentanchus profundicolus,NA,NA
Planonasus indicus,NA,NA
Planonasus parini,NA,NA
Pliotrema annae,NA,NA
Pliotrema kajae,NA,NA
Pristiophorus delicatus,NA,NA
Pristiophorus japonicus,NA,NA
Pristiophorus lanae,NA,NA
Pristiophorus nancyae,NA,NA
Proscyllium magnificum,NA,NA
Rhizoprionodon lalandii,NA,NA
Rhizoprionodon porosus,NA,NA
Schroederichthys chilensis,NA,NA
Schroederichthys saurisqualus,NA,NA
Schroederichthys tenuis,NA,NA
Scyliorhinus comoroensis,NA,NA
Scyliorhinus retifer,NA,NA
Scylliogaleus quecketti,NA,NA
Scymnodalatias albicauda,NA,NA
Scymnodalatias garricki,NA,NA
Scymnodalatias sherwoodi,NA,NA
Scymnodon ichiharai,NA,NA
Scymnodon plunketi,NA,NA
Somniosus longus,NA,NA
Somniosus microcephalus,NA,NA
Somniosus pacificus,NA,NA
Sphyrna media,NA,NA
Squalus acutipinnis,NA,NA
Squalus albicaudus,NA,NA
Squalus altipinnis,NA,NA
Squalus bahiensis,NA,NA
Squalus bassi,NA,NA
Squalus boretzi,NA,NA
Squalus brevirostris,NA,NA
Squalus bucephalus,NA,NA
Squalus clarkae,NA,NA
Squalus cubensis,NA,NA
Squalus formosus,NA,NA
Squalus hawaiiensis,NA,NA
Squalus hemipinnis,NA,NA
Squalus japonicus,NA,NA
Squalus lobularis,NA,NA
Squalus mahia,NA,NA
Squalus margaretsmithae,NA,NA
Squalus notocaudatus,NA,NA
Squalus quasimodo,NA,NA
Squalus rancureli,NA,NA
Squalus raoulensis,NA,NA
Squatina argentina,NA,NA
Squatina david,NA,NA
Squatina formosa,NA,NA
Squatina japonica,NA,NA
Squatina nebulosa,NA,NA
Squatina occulta,NA,NA
Squatina pseudocellata,NA,NA
Squatina squatina,NA,NA
Squatina tergocellatoides,NA,NA
Stegostoma tigrinum,NA,NA
Sutorectus tentaculatus,NA,NA
Triakis acutipinna,NA,NA
Triakis maculata,NA,NA
Triakis scyllium,NA,NA
Trigonognathus kabeyai,NA,NA
