ac,eo,species
6.5204,0.073448,Ampelisca brevicornis
5.9346,0.066904,Ampelisca brevisimulata
12.456,0.4919,Ampelisca burkei
5.198,0.84365,Ampelisca careyi
5.81,-0.18541,Ampelisca chiltoni
10.818,0.41084,Ampelisca cristata
8.0561,0.2505,Ampelisca cyclops
2.5254,1.7188,Ampelisca dallenei
5.0075,1.1894,Ampelisca declivitatis
4.9372,-0.0074857,Ampelisca dimboola
4.5919,0.15774,Ampelisca eschrichtii
6.2872,0.12292,Ampelisca euroa
1.783,-1.7916,Ampelisca furcigera
5.4946,0.094842,Ampelisca gibba
1.0411,1.0173,Ampelisca hemicryptops
4.6199,-0.16794,Ampelisca holmesi
5.1275,0.68489,Ampelisca indentata
7.4389,0.31507,Ampelisca jingera
5.157,0.019708,Ampelisca ledoyeri
6.3974,0.16728,Ampelisca macrocephala
5.6461,0.10719,Ampelisca miharaensis
5.1578,0.61153,Ampelisca milleri
5.2982,-0.080104,Ampelisca miops
7.2399,0.20536,Ampelisca misakiensis
4.703,0.11245,Ampelisca odontoplax
5.5813,0.85579,Ampelisca pacifica
1.3748,-1.9939,Ampelisca paria
5.5187,0.2869,Ampelisca pectenata
5.4172,0.16715,Ampelisca provincialis
5.7111,0.26881,Ampelisca pseudosarsi
5.2589,0.061159,Ampelisca pseudospinimana
1.2125,0.93453,Ampelisca richardsoni
3.3137,-1.324,Ampelisca romigi
5.4047,0.057672,Ampelisca sarsi
2.9001,-1.5773,Ampelisca schellenbergi
5.4013,0.22464,Ampelisca spinifer
6.6669,0.46009,Ampelisca spinimana
6.4982,0.35369,Ampelisca spinipes
5.8804,0.15158,Ampelisca tenuicornis
5.6359,0.052209,Ampelisca toora
5.0376,0.047864,Ampelisca truncata
5.6453,0.099796,Ampelisca typica
7.4082,0.19313,Ampelisca vadorum
8.9786,0.35132,Ampelisca venetiensis
5.6104,0.047956,Ampelisca verrilli
5.0143,-0.035071,Ampelisciphotis podophthalma
5.0601,0.053256,Amphiascoides debilis
5.1573,0.012664,Amphiascoides subdebilis
6.1359,-0.021951,Amphiascopsis cinctus
5.7388,0.019601,Amphiascus parvulus
16.606,0.64797,Amphiatlantica marcuzzi
6.8784,0.12142,Amphibalanus amphitrite
6.2008,0.091732,Amphibalanus eburneus
5.5627,0.01405,Amphibalanus improvisus
6.3018,0.10423,Amphibalanus reticulatus
5.4437,-0.01262,Amphibalanus subalbidus
5.6998,0.055952,Amphibalanus venustus
4.8482,0.048807,Amphideutopus oculatus
3.5009,0.4472,Amphilochella simplicarpa
7.4827,0.43804,Amphilochoides boecki
5.504,0.18555,Amphilochus manudens
1.2194,1.9922,Amphilochus marionis
4.7538,0.14995,Amphilochus tenuimanus
5.1144,0.075766,Amphionides reynaudii
4.0799,0.6949,Amphiporeia lawrenciana
4.629,0.50787,Amphiporeia virginiana
1.1748,1.6044,Amphithopsis longicaudata
5.2736,0.00078918,Amphithrax aculeatus
5.1403,0.032627,Ampithoe boiana
4.6452,0.022596,Ampithoe dalli
4.2387,0.89145,Ampithoe lacertosa
7.619,0.23289,Ampithoe longimana
5.2451,0.034566,Ampithoe rubricata
6.4069,0.13083,Ampithoe waialua
1.3547,-1.9916,Anamaera hixoni
6.2781,0.23207,Anamathia rissoana
1.2849,-1.8634,Anamixis vanga
5.5571,0.1509,Anapagurus breviaculeatus
5.4537,0.13281,Anapagurus chiroacanthus
10.563,0.80072,Anapagurus hendersoni
5.8962,0.13662,Anapagurus laevis
5.3832,0.078667,Anapagurus petiti
5.2928,0.065569,Anapagurus pusillus
3.1818,0.54342,Anarthron dithrix
14.194,0.54005,Anasimus latus
1.0862,-1.951,Anawekia bilobata
5.6418,0.082874,Anchialina agilis
148,1.7542,Anchialina dentata
88.714,1.4121,Anchialina typica
6.2873,0.20396,Anchiphimedia dorsalis
6.9971,0.15459,Anchisquilla fasciata
7.4789,0.21386,Anchisquilla fasciaticauda
6.4711,0.105,Anchisquilloides mcneilli
9.3169,0.30076,Anchistioides antiguensis
18.386,0.66982,Anchistioides compressus
12.693,0.44525,Anchistus miersi
5.1151,-0.0096189,Anchistylis longipes
5.2309,0.033924,Anchistylis similis
5.6157,0.051364,Ancinus depressus
15.448,1.2912,Ancylodactyla elongata
7.2663,0.41022,Ancylodactyla nana
6.929,0.12769,Ancylomenes holthuisi
2.1561,-1.3957,Ancylomenes pedersoni
13.976,0.53256,Ancylomenes tosaensis
4.7659,0.060933,Andaniella pectinata
4.6308,0.072378,Andaniexis abyssi
6.2139,0.61771,Andaniopsis nordlandica
1.8674,0.91172,Andaniopsis pectinata
1.0659,1.4691,Andaniotes linearis
1.1443,0.92212,Andaniotes pseudolinearis
5.6174,0.18751,Andaniotes wallaroo
6.9053,0.19211,Aniculus maximus
5.6145,0.070913,Aniculus ursus
6.1068,0.1063,Anilocra dimidiata
2.163,-1.5457,Anilocra haemuli
6.0083,0.089684,Anilocra nemipteri
12.304,0.47488,Anilocra pomacentri
5.8145,0.056209,Animoceradocus semiserratus
5.0019,0.11327,Anisogammarus pugettensis
9.0653,0.3546,Anisopagurus bartletti
5.0218,-0.023447,Anomalocera ornata
5.3708,0.12258,Anomalocera patersonii
2.6419,0.52402,Anonychocheirus richardsoni
1.0044,1.7298,Anonyx affinis
6.3113,0.17398,Anonyx debruynii
1.1871,1.9164,Anonyx laticoxae
6.1547,0.68688,Anonyx lilljeborgi
1,1.6478,Anonyx makarovi
4.7894,0.40215,Anonyx nugax
1.1867,1.5936,Anonyx ochoticus
5.632,0.29684,Anonyx sarsi
