scientific_name,f,f_mort,percent_diff,abs_diff,f_max,f_fmsy,family,threat,sp_count_threat,total_sp_count,sp_threat_pct,mean_mort_reduction,sd_mort_reduction,se_mort_reduction,mean_abs_mort_reduction,sd_abs_mort_reduction,se_abs_mort_reduction,mean_f_fmsy,sd_f_fmsy,se_f_fmsy,sp_threat,status,sp_count
Mustelus norrisi,0.0811285324105828,0.03920155327923311,51.67969626168232,0.041926979131349684,0.1678973974376084,2.0695234148683683,Triakidae,threatened,20,41,0.4878048780487805,56.095776727374414,10.398154750286459,3.0016887220766364,0.06809933071678513,0.03008439817478441,0.008684617692309833,2.4196394512298096,0.6715853134844874,0.193869980762034,<0.50,Corrected,NA
Nebrius ferrugineus,0.05289364285130611,0.014992703066202751,71.65499999999993,0.03790093978510335,0.18660660734276235,3.5279590756747146,Ginglymostomatidae,threatened,4,4,1,67.81999999999992,5.423509011700831,3.8350000000000075,0.0362704296553454,0.0023058895390904066,0.001630510129757949,3.152289964048655,0.5312763526262259,0.3756691116260597,>0.75,Corrected,NA
Negaprion acutidens,0.05289364285130611,0.02726330092011665,48.45637499999977,0.025630341931189456,0.10261917521576311,1.9401041350894426,Carcharhinidae,threatened,35,52,0.6730769230769231,48.63682081989183,12.499064633591262,1.6702577683586313,0.05080474368218335,0.03951421317719093,0.005280308843464166,2.0819633617656144,0.6165474639089676,0.08238962045113317,<0.75,Corrected,NA
Negaprion brevirostris,0.07868339372986317,0.03762396629333864,52.183091615862786,0.041059427436524534,0.16455140323535766,2.091310446017334,Carcharhinidae,threatened,35,52,0.6730769230769231,48.63682081989183,12.499064633591262,1.6702577683586313,0.05080474368218335,0.03951421317719093,0.005280308843464166,2.0819633617656144,0.6165474639089676,0.08238962045113317,<0.75,Corrected,NA
Notorynchus cepedianus,0.088664977875,0.039180167073183725,55.81100000000002,0.04948481080181627,0.2006494328339633,2.263006630609429,Hexanchidae,threatened,1,5,0.2,59.47527753143356,4.738690015983477,1.6753799221214527,0.045588444442384475,0.025003047580435218,0.00883991224722782,2.500776258453518,0.32455688632115604,0.11474818759924042,<0.25,Corrected,NA
Odontaspis noronhai,0.05289364285130611,0.02385073914226311,54.90811776887444,0.029042903709042996,0.11730191829250194,2.2176940737899167,Odontaspididae,threatened,2,3,0.6666666666666666,39.698047784291646,17.56307599998385,8.781537999991926,0.017717928542784783,0.013076954921610012,0.006538477460805006,1.7709932560410695,0.5158056747490459,0.25790283737452296,<0.75,Corrected,NA
Prionace glauca,0.3728700730887175,0.15873494939263252,57.428884523305655,0.21413512369608498,0.8758757408948941,2.349010564563318,Carcharhinidae,threatened,35,52,0.6730769230769231,48.63682081989183,12.499064633591262,1.6702577683586313,0.05080474368218335,0.03951421317719093,0.005280308843464166,2.0819633617656144,0.6165474639089676,0.08238962045113317,<0.75,Corrected,NA
Rhizoprionodon acutus,0.07411682457513344,0.03854730158597306,47.99115881320977,0.03556952298916038,0.1425081253184284,1.922750011692225,Carcharhinidae,threatened,35,52,0.6730769230769231,48.63682081989183,12.499064633591262,1.6702577683586313,0.05080474368218335,0.03951421317719093,0.005280308843464166,2.0819633617656144,0.6165474639089676,0.08238962045113317,<0.75,Corrected,NA
Rhizoprionodon terraenovae,0.23216899374076305,0.11646602547561173,49.83566771812079,0.11570296826515132,0.46281687242676434,1.9934482420315771,Carcharhinidae,threatened,35,52,0.6730769230769231,48.63682081989183,12.499064633591262,1.6702577683586313,0.05080474368218335,0.03951421317719093,0.005280308843464166,2.0819633617656144,0.6165474639089676,0.08238962045113317,<0.75,Corrected,NA
Scyliorhinus canicula,0.3396902248020769,0.17748814245908506,47.75000000000003,0.16220208234299183,0.6501248321570853,1.9138755980861253,Scyliorhinidae,threatened,3,18,0.16666666666666666,47.75000000000003,0,0,0.16220208234299183,0,0,1.9138755980861253,0,0,<0.25,Corrected,NA
Somniosus microcephalus,0.0811285324105828,0.01595739443724554,80.33072463768124,0.06517113797333725,0.4124632499985437,5.084071383309531,Somniosidae,threatened,5,16,0.3125,79.91192371643642,0.7888849162805863,0.3220609184442771,0.04907919902755993,0.012565681771218298,0.005129918101612797,4.984332175352872,0.19112848686026757,0.07802787801964915,<0.50,Corrected,NA
Sphyrna lewini,0.2183229119596849,0.0897015649947923,58.91335261625842,0.12862134696489258,0.5313719319091428,2.4338807463655714,Sphyrnidae,threatened,8,9,0.8888888888888888,51.1768758016052,5.920220406403124,2.0931139977433135,0.09705772429173723,0.06732767569256733,0.023803928021871517,2.075688079163425,0.2598789615846809,0.09188108801212307,>0.75,Corrected,NA
