scientific_name,gear_class,habitat_associated,ventilation_method,max_size_cm,measure,median_depth,reproductive_mode,family,order
Carcharhinus albimarginatus,NA,reef-associated,ram,300,NA,400.5,placental viviparity,Carcharhinidae,Carcharhiniformes
Carcharhinus altimus,NA,reef-associated,ram,300,NA,405,placental viviparity,Carcharhinidae,Carcharhiniformes
Carcharhinus amblyrhynchoides,NA,benthopelagic,ram,182,NA,37.5,placental viviparity,Carcharhinidae,Carcharhiniformes
Carcharhinus amboinensis,NA,reef-associated,ram,280,NA,50,placental viviparity,Carcharhinidae,Carcharhiniformes
Carcharhinus borneensis,NA,demersal,ram,70,NA,25,placental viviparity,Carcharhinidae,Carcharhiniformes
Carcharhinus cautus,NA,reef-associated,ram,150,NA,10,placental viviparity,Carcharhinidae,Carcharhiniformes
Carcharhinus cerdale,NA,demersal,ram,140,NA,20,placental viviparity,Carcharhinidae,Carcharhiniformes
Carcharhinus coatesi,NA,reef-associated,ram,87,NA,61.5,placental viviparity,Carcharhinidae,Carcharhiniformes
Carcharhinus fitzroyensis,NA,demersal,ram,135,NA,20,placental viviparity,Carcharhinidae,Carcharhiniformes
Carcharhinus hemiodon,NA,demersal,ram,200,NA,80,placental viviparity,Carcharhinidae,Carcharhiniformes
Carcharhinus humani,NA,benthopelagic,ram,84.40000153,NA,39.5,placental viviparity,Carcharhinidae,Carcharhiniformes
Carcharhinus isodon,NA,demersal,ram,200,NA,10,placental viviparity,Carcharhinidae,Carcharhiniformes
Carcharhinus leiodon,NA,demersal,ram,165,NA,35,placental viviparity,Carcharhinidae,Carcharhiniformes
Carcharhinus longimanus,NA,pelagic,ram,350,NA,541,placental viviparity,Carcharhinidae,Carcharhiniformes
Carcharhinus macloti,NA,demersal,ram,110,NA,100.5,placental viviparity,Carcharhinidae,Carcharhiniformes
Carcharhinus melanopterus,NA,reef-associated,ram,180,NA,50,placental viviparity,Carcharhinidae,Carcharhiniformes
Carcharhinus obsoletus,NA,demersal,ram,100,NA,25,placental viviparity,Carcharhinidae,Carcharhiniformes
Carcharhinus porosus,NA,demersal,ram,150,NA,42,placental viviparity,Carcharhinidae,Carcharhiniformes
Carcharhinus sealei,NA,reef-associated,ram,100,NA,20,placental viviparity,Carcharhinidae,Carcharhiniformes
Carcharhinus tilstoni,NA,benthopelagic,ram,200,NA,75,placental viviparity,Carcharhinidae,Carcharhiniformes
Carcharhinus tjutjot,NA,reef-associated,ram,93.69999695,NA,50,placental viviparity,Carcharhinidae,Carcharhiniformes
Carcharias taurus,NA,reef-associated,ram,325,NA,116,oophagy,Odontaspididae,Lamniformes
Carcharodon carcharias,NA,pelagic,ram,594.4,NA,600,oophagy,Lamnidae,Lamniformes
Centrophorus atromarginatus,NA,bathydemersal,stationary,87,NA,316.5,yolk-sac viviparity,Centrophoridae,Squaliformes
Centrophorus granulosus,NA,bathydemersal,stationary,176,NA,775,yolk-sac viviparity,Centrophoridae,Squaliformes
Centrophorus harrissoni,NA,bathydemersal,stationary,111.4000015,NA,520,yolk-sac viviparity,Centrophoridae,Squaliformes
Centrophorus isodon,NA,bathydemersal,stationary,108.2,NA,602.5,yolk-sac viviparity,Centrophoridae,Squaliformes
Centrophorus lesliei,NA,bathydemersal,stationary,76.5,NA,490,yolk-sac viviparity,Centrophoridae,Squaliformes
Centrophorus longipinnis,NA,bathydemersal,stationary,77.5,NA,395,yolk-sac viviparity,Centrophoridae,Squaliformes
Centrophorus moluccensis,NA,bathydemersal,stationary,100,NA,474,yolk-sac viviparity,Centrophoridae,Squaliformes
Centrophorus tessellatus,NA,benthopelagic,stationary,89,NA,376,yolk-sac viviparity,Centrophoridae,Squaliformes
Centrophorus uyato,NA,bathydemersal,stationary,110,NA,725,yolk-sac viviparity,Centrophoridae,Squaliformes
Centrophorus westraliensis,NA,bathydemersal,stationary,90.9,NA,683,yolk-sac viviparity,Centrophoridae,Squaliformes
Centroscyllium excelsum,NA,bathydemersal,stationary,63.59999847,NA,900,yolk-sac viviparity,Etmopteridae,Squaliformes
Centroscyllium fabricii,NA,bathydemersal,stationary,120,NA,1190,yolk-sac viviparity,Etmopteridae,Squaliformes
Centroscyllium granulatum,NA,bathypelagic,stationary,61.5,NA,355,yolk-sac viviparity,Etmopteridae,Squaliformes
Centroscyllium kamoharai,NA,bathydemersal,stationary,60,NA,965,yolk-sac viviparity,Etmopteridae,Squaliformes
Centroscyllium nigrum,NA,benthopelagic,stationary,51,NA,719.5,yolk-sac viviparity,Etmopteridae,Squaliformes
Centroscyllium ornatum,NA,bathydemersal,stationary,30,NA,891.5,yolk-sac viviparity,Etmopteridae,Squaliformes
Centroscyllium ritteri,NA,demersal,stationary,43,NA,605,yolk-sac viviparity,Etmopteridae,Squaliformes
Centroscymnus macracanthus,NA,bathydemersal,stationary,170,NA,884.5,yolk-sac viviparity,Somniosidae,Squaliformes
Centroscymnus owstonii,NA,bathydemersal,stationary,120,NA,804.5,yolk-sac viviparity,Somniosidae,Squaliformes
Centroselachus crepidater,NA,bathydemersal,stationary,105,NA,1140,yolk-sac viviparity,Somniosidae,Squaliformes
Cephaloscyllium albipinnum,NA,bathypelagic,stationary,110,NA,340,yolk-sac viviparity,Scyliorhinidae,Carcharhiniformes
Cephaloscyllium fasciatum,NA,reef-associated,stationary,42,NA,325,yolk-sac viviparity,Scyliorhinidae,Carcharhiniformes
Cephaloscyllium formosanum,NA,reef-associated,stationary,65.5,NA,366,yolk-sac viviparity,Scyliorhinidae,Carcharhiniformes
Cephaloscyllium hiscosellum,NA,bathypelagic,stationary,52,NA,357,yolk-sac viviparity,Scyliorhinidae,Carcharhiniformes
Cephaloscyllium isabellum,NA,reef-associated,stationary,150,NA,399.5,yolk-sac viviparity,Scyliorhinidae,Carcharhiniformes
Cephaloscyllium laticeps,NA,demersal,stationary,150,NA,110.5,yolk-sac viviparity,Scyliorhinidae,Carcharhiniformes
Cephaloscyllium sarawakensis,NA,benthopelagic,stationary,44.1,NA,141,yolk-sac viviparity,Scyliorhinidae,Carcharhiniformes
Cephaloscyllium signourum,NA,benthopelagic,stationary,74.1,NA,590,yolk-sac viviparity,Scyliorhinidae,Carcharhiniformes
Cephaloscyllium silasi,NA,bathydemersal,stationary,36,NA,375,yolk-sac viviparity,Scyliorhinidae,Carcharhiniformes
Cephaloscyllium speccum,NA,benthopelagic,stationary,68,NA,302.5,yolk-sac viviparity,Scyliorhinidae,Carcharhiniformes
Cephaloscyllium sufflans,NA,demersal,stationary,110,NA,320,yolk-sac viviparity,Scyliorhinidae,Carcharhiniformes
Cephaloscyllium umbratile,NA,reef-associated,stationary,120,NA,260,yolk-sac viviparity,Scyliorhinidae,Carcharhiniformes
Cephaloscyllium variegatum,NA,bathypelagic,stationary,72,NA,360,yolk-sac viviparity,Scyliorhinidae,Carcharhiniformes
Cephaloscyllium ventriosum,NA,demersal,stationary,110,NA,231,yolk-sac viviparity,Scyliorhinidae,Carcharhiniformes
Cephalurus cephalus,NA,bathydemersal,stationary,28,NA,541,yolk-sac viviparity,Pentanchidae,Carcharhiniformes
Cetorhinus maximus,NA,pelagic,ram,1097.3,NA,632,oophagy,Cetorhinidae,Lamniformes
Chiloscyllium arabicum,NA,demersal,stationary,80,NA,51,oviparous,Hemiscylliidae,Orectolobiformes
Chiloscyllium burmensis,NA,demersal,stationary,57.5,NA,31,oviparous,Hemiscylliidae,Orectolobiformes
Chiloscyllium griseum,NA,reef-associated,stationary,77,NA,52.5,oviparous,Hemiscylliidae,Orectolobiformes
