family,hook,leader,location,flagstate,source,group,sample_size,estimate,scientific_name,gear_class,max_size_cm,median_depth,reproductive_mode,ventilation_method,estimate_type,redlist_category,genus,ac,habitat
Dasyatidae,c,mono,Tropical Atlantic,Portugal,Gilman et al (2022),Batoids,61,0.09836065573770492,Pteroplatytrygon violacea,longline,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,pelagic
Pseudocarchariidae,c,mono,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,291,0.09278350515463918,Pseudocarcharias kamoharai,longline,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,pelagic
Carcharhinidae,c,mono,Pacific Ocean,Vanuatu,Gilman et al (2022),Sharks,225,0.23555555555555557,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,c,mono,Pacific Ocean,Vanuatu,Gilman et al (2022),Sharks,1,1,Carcharhinus falciformis,longline,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,pelagic
Lamnidae,c,mono,Pacific Ocean,Vanuatu,Gilman et al (2022),Sharks,1,1,Isurus paucus,longline,427,876,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,10.319,pelagic
Dasyatidae,c,mono,Pacific Ocean,Vanuatu,Gilman et al (2022),Batoids,1497,0.01736806947227789,Pteroplatytrygon violacea,longline,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,pelagic
Lamnidae,c,mono,Pacific Ocean,Vanuatu,Gilman et al (2022),Sharks,25,0.4,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Alopiidae,j,mono,Palau,Palau,Gilman et al (2022),Sharks,41,0.34146341463414637,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Carcharhinidae,j,mono,Palau,Palau,Gilman et al (2022),Sharks,2,0,Carcharhinus altimus,longline,300,405,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,17.283,pelagic
Carcharhinidae,j,mono,Palau,Palau,Gilman et al (2022),Sharks,5,0,Carcharhinus melanopterus,longline,180,50,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.9127,pelagic
Carcharhinidae,j,mono,Palau,Palau,Gilman et al (2022),Sharks,215,0.15348837209302327,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
