family,hook,leader,location,flagstate,source,group,sample_size,estimate,scientific_name,gear_class,max_size_cm,median_depth,reproductive_mode,ventilation_method,estimate_type,redlist_category,genus,ac,habitat
Carcharhinidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,515,0.04077669902912621,Galeocerdo cuvier,longline,740,556,matrotrophic viviparity,ram,at-vessel mortality,,Galeocerdo,12.342,pelagic
Carcharhinidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,6,0.16666666666666666,Galeocerdo cuvier,longline,740,556,matrotrophic viviparity,ram,at-vessel mortality,,Galeocerdo,12.342,pelagic
Carcharhinidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,26,0,Galeocerdo cuvier,longline,740,556,matrotrophic viviparity,ram,at-vessel mortality,,Galeocerdo,12.342,pelagic
Carcharhinidae,j,wire,Western Atlantic,USA,Gilman et al (2022),Sharks,1,0,Galeocerdo cuvier,longline,740,556,matrotrophic viviparity,ram,at-vessel mortality,,Galeocerdo,12.342,pelagic
Carcharhinidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,30,0,Galeocerdo cuvier,longline,740,556,matrotrophic viviparity,ram,at-vessel mortality,,Galeocerdo,12.342,pelagic
Carcharhinidae,j,other,Western Atlantic,USA,Gilman et al (2022),Sharks,2,0,Galeocerdo cuvier,longline,740,556,matrotrophic viviparity,ram,at-vessel mortality,,Galeocerdo,12.342,pelagic
Carcharhinidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,72,0.05555555555555555,Galeocerdo cuvier,longline,740,556,matrotrophic viviparity,ram,at-vessel mortality,,Galeocerdo,12.342,pelagic
Carcharhinidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,7,0,Galeocerdo cuvier,longline,740,556,matrotrophic viviparity,ram,at-vessel mortality,,Galeocerdo,12.342,pelagic
Carcharhinidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,7,0.14285714285714285,Galeocerdo cuvier,longline,740,556,matrotrophic viviparity,ram,at-vessel mortality,,Galeocerdo,12.342,pelagic
Carcharhinidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,4,0,Galeocerdo cuvier,longline,740,556,matrotrophic viviparity,ram,at-vessel mortality,,Galeocerdo,12.342,pelagic
Somniosidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,1,0,Scymnodon ichiharai,longline,151.1,640,lecithotrophic viviparity,stationary,at-vessel mortality,,Scymnodon,3.9064,pelagic
Somniosidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,1,1,Scymnodon ichiharai,longline,151.1,640,lecithotrophic viviparity,stationary,at-vessel mortality,,Scymnodon,3.9064,pelagic
Carcharhinidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,3,0.3333333333333333,Rhizoprionodon terraenovae,longline,113,140,matrotrophic viviparity,ram,at-vessel mortality,,Rhizoprionodon,6.7403,demersal
Carcharhinidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,43,0.11627906976744186,Rhizoprionodon terraenovae,longline,113,140,matrotrophic viviparity,ram,at-vessel mortality,,Rhizoprionodon,6.7403,demersal
Carcharhinidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,42,0.6428571428571429,Rhizoprionodon terraenovae,longline,113,140,matrotrophic viviparity,ram,at-vessel mortality,,Rhizoprionodon,6.7403,demersal
Carcharhinidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,14,0.42857142857142855,Rhizoprionodon terraenovae,longline,113,140,matrotrophic viviparity,ram,at-vessel mortality,,Rhizoprionodon,6.7403,demersal
Carcharhinidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,157,0.5668789808917197,Rhizoprionodon terraenovae,longline,113,140,matrotrophic viviparity,ram,at-vessel mortality,,Rhizoprionodon,6.7403,demersal
Carcharhinidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,1,0,Rhizoprionodon terraenovae,longline,113,140,matrotrophic viviparity,ram,at-vessel mortality,,Rhizoprionodon,6.7403,demersal
Cetorhinidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,4,0.5,Cetorhinus maximus,longline,,,matrotrophic viviparity,,at-vessel mortality,,Cetorhinus,7.3075,pelagic
Cetorhinidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,1,0,Cetorhinus maximus,longline,,,matrotrophic viviparity,,at-vessel mortality,,Cetorhinus,7.3075,pelagic
Cetorhinidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,2,0,Cetorhinus maximus,longline,,,matrotrophic viviparity,,at-vessel mortality,,Cetorhinus,7.3075,pelagic
Cetorhinidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,1,0,Cetorhinus maximus,longline,,,matrotrophic viviparity,,at-vessel mortality,,Cetorhinus,7.3075,pelagic
Alopiidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,334,0.5,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Alopiidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,45,0.5333333333333333,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Alopiidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,16,0.5,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Alopiidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,19,0.3157894736842105,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Alopiidae,c,other,Western Atlantic,USA,Gilman et al (2022),Sharks,3,0.6666666666666666,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Alopiidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,139,0.5035971223021583,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Alopiidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,2,0.5,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Alopiidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,200,0.34,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Alopiidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,24,0.375,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Alopiidae,j,other,Western Atlantic,USA,Gilman et al (2022),Sharks,1,1,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Alopiidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,95,0.47368421052631576,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Alopiidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,41,0.2682926829268293,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Alopiidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,5,0,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Alopiidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,55,0.3636363636363637,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Carcharhinidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,4,0,Carcharhinus altimus,longline,300,405,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,17.283,pelagic
Carcharhinidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,2,1,Carcharhinus altimus,longline,300,405,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,17.283,pelagic
Carcharhinidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,32,0.6875,Carcharhinus altimus,longline,300,405,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,17.283,pelagic
Carcharhinidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,4,0.5,Carcharhinus altimus,longline,300,405,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,17.283,pelagic
Carcharhinidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,2,0,Carcharhinus altimus,longline,300,405,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,17.283,pelagic
Carcharhinidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,3,1,Carcharhinus acronotus,longline,164,51.5,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,8.3419,pelagic
Carcharhinidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,1,1,Carcharhinus acronotus,longline,164,51.5,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,8.3419,pelagic
Carcharhinidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,17,0.29411764705882354,Carcharhinus limbatus,longline,286,70,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.7253,pelagic
Carcharhinidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,1,1,Carcharhinus limbatus,longline,286,70,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.7253,pelagic
Carcharhinidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,6,0.3333333333333333,Carcharhinus limbatus,longline,286,70,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.7253,pelagic
Carcharhinidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,20,0.8,Carcharhinus limbatus,longline,286,70,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.7253,pelagic
Carcharhinidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,13,0.6153846153846154,Carcharhinus limbatus,longline,286,70,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.7253,pelagic
Carcharhinidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,30,0.6333333333333333,Carcharhinus limbatus,longline,286,70,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.7253,pelagic
Carcharhinidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,17,0.6470588235294118,Carcharhinus limbatus,longline,286,70,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.7253,pelagic
Carcharhinidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,1,1,Carcharhinus limbatus,longline,286,70,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.7253,pelagic
Carcharhinidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,11,0.4545454545454546,Carcharhinus limbatus,longline,286,70,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.7253,pelagic
Carcharhinidae,c,other,Western Atlantic,USA,Gilman et al (2022),Sharks,4,0,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,17014,0.11472904666745032,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,18467,0.1862240753777008,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,856,0.11682242990654206,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,169,0.10059171597633136,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,c,other,Western Atlantic,USA,Gilman et al (2022),Sharks,60,0.03333333333333333,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,11578,0.09846260148557608,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,116,0.1810344827586207,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,6,0.8333333333333334,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,3,0,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,185,0.15135135135135136,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,j,other,Western Atlantic,USA,Gilman et al (2022),Sharks,43,0.04651162790697674,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,2828,0.12942008486562942,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,319,0.0877742946708464,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,69,0.08695652173913043,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,37,0.02702702702702703,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,j,other,Western Atlantic,USA,Gilman et al (2022),Sharks,2,0,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,8948,0.13388466696468485,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,other,other,Western Atlantic,USA,Gilman et al (2022),Sharks,1,0,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,3913,0.17096856631740354,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,95,0.07368421052631578,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,81,0.20987654320987653,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,190,0.13157894736842105,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,7411,0.1992983403049521,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,6,0,Carcharhinus leucas,longline,366,82.5,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,6.6321,pelagic
Carcharhinidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,2,0,Carcharhinus leucas,longline,366,82.5,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,6.6321,pelagic
Carcharhinidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,4,0,Carcharhinus leucas,longline,366,82.5,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,6.6321,pelagic
Carcharhinidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,6,0.3333333333333333,Carcharhinus leucas,longline,366,82.5,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,6.6321,pelagic
Carcharhinidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,2,0,Carcharhinus leucas,longline,366,82.5,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,6.6321,pelagic
Carcharhinidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,1,1,Carcharhinus leucas,longline,366,82.5,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,6.6321,pelagic
Carcharhinidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,11,0.18181818181818185,Carcharhinus leucas,longline,366,82.5,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,6.6321,pelagic
Carcharhinidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,1,0,Carcharhinus leucas,longline,366,82.5,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,6.6321,pelagic
Carcharhinidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,1,1,Carcharhinus perezi,longline,295,189,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.6352,pelagic
Carcharhinidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,5,0.2,Carcharhinus perezi,longline,295,189,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.6352,pelagic
Mobulidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Batoids,8,0,Mobula tarapacana,longline,370,948,matrotrophic viviparity,ram,at-vessel mortality,,Mobula,6.164,pelagic
Mobulidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Batoids,6,0,Mobula tarapacana,longline,370,948,matrotrophic viviparity,ram,at-vessel mortality,,Mobula,6.164,pelagic
Alopiidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,88,0.375,Alopias vulpinus,longline,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,pelagic
Alopiidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,66,0.30303030303030304,Alopias vulpinus,longline,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,pelagic
Alopiidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,206,0.24757281553398056,Alopias vulpinus,longline,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,pelagic
Alopiidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,2,0.5,Alopias vulpinus,longline,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,pelagic
Alopiidae,c,other,Western Atlantic,USA,Gilman et al (2022),Sharks,1,1,Alopias vulpinus,longline,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,pelagic
Alopiidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,22,0.6363636363636364,Alopias vulpinus,longline,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,pelagic
Alopiidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,3,0,Alopias vulpinus,longline,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,pelagic
Alopiidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,3,0.6666666666666666,Alopias vulpinus,longline,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,pelagic
Alopiidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,26,0.34615384615384615,Alopias vulpinus,longline,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,pelagic
Alopiidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,28,0.10714285714285714,Alopias vulpinus,longline,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,pelagic
Alopiidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,8,0.125,Alopias vulpinus,longline,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,pelagic
Alopiidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,15,0.3333333333333333,Alopias vulpinus,longline,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,pelagic
Alopiidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,12,0.4166666666666667,Alopias vulpinus,longline,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,pelagic
Alopiidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,4,0.25,Alopias vulpinus,longline,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,pelagic
Alopiidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,16,0.375,Alopias vulpinus,longline,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,pelagic
Dalatiidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,1,1,Isistius brasiliensis,longline,42,1850,lecithotrophic viviparity,ram,at-vessel mortality,,Isistius,15.604,pelagic
Pseudocarchariidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,1,1,Pseudocarcharias kamoharai,longline,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,pelagic
Pseudocarchariidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,1,0,Pseudocarcharias kamoharai,longline,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,pelagic
Carcharhinidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,177,0.327683615819209,Carcharhinus obscurus,longline,420,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0963,pelagic
Carcharhinidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,53,0.3584905660377358,Carcharhinus obscurus,longline,420,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0963,pelagic
Carcharhinidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,14,0.2857142857142857,Carcharhinus obscurus,longline,420,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0963,pelagic
Carcharhinidae,c,other,Western Atlantic,USA,Gilman et al (2022),Sharks,1,0,Carcharhinus obscurus,longline,420,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0963,pelagic
Carcharhinidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,163,0.26993865030674846,Carcharhinus obscurus,longline,420,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0963,pelagic
Carcharhinidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,53,0.16981132075471697,Carcharhinus obscurus,longline,420,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0963,pelagic
Carcharhinidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,3,0,Carcharhinus obscurus,longline,420,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0963,pelagic
Carcharhinidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,19,0.3157894736842105,Carcharhinus obscurus,longline,420,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0963,pelagic
Carcharhinidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,478,0.4435146443514644,Carcharhinus obscurus,longline,420,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0963,pelagic
Carcharhinidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,116,0.25862068965517243,Carcharhinus obscurus,longline,420,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0963,pelagic
Carcharhinidae,j,wire,Western Atlantic,USA,Gilman et al (2022),Sharks,1,0,Carcharhinus obscurus,longline,420,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0963,pelagic
Carcharhinidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,91,0.05494505494505494,Carcharhinus obscurus,longline,420,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0963,pelagic
Carcharhinidae,j,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,240,0.35,Carcharhinus obscurus,longline,420,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0963,pelagic
Carcharhinidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,372,0.5940860215053764,Carcharhinus obscurus,longline,420,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0963,pelagic
Carcharhinidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,86,0.3023255813953488,Carcharhinus obscurus,longline,420,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0963,pelagic
Carcharhinidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,155,0.3032258064516129,Carcharhinus obscurus,longline,420,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0963,pelagic
Carcharhinidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,28,0.5,Carcharhinus obscurus,longline,420,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0963,pelagic
Carcharhinidae,other,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,57,0.5263157894736842,Carcharhinus obscurus,longline,420,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0963,pelagic
Carcharhinidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,1,0,Carcharhinus isodon,longline,200,10,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,16.403,demersal
Sphyrnidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,132,0.5984848484848485,Sphyrna mokarran,longline,610,150,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,7.3981,pelagic
Sphyrnidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,13,0.4615384615384616,Sphyrna mokarran,longline,610,150,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,7.3981,pelagic
Sphyrnidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,5,1,Sphyrna mokarran,longline,610,150,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,7.3981,pelagic
Sphyrnidae,c,other,Western Atlantic,USA,Gilman et al (2022),Sharks,1,1,Sphyrna mokarran,longline,610,150,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,7.3981,pelagic
Sphyrnidae,c,mono,Western Atlantic,USA,Gilman et al (2022),Sharks,17,0.5882352941176471,Sphyrna mokarran,longline,610,150,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,7.3981,pelagic
