scientific_name,common_name,family,order,ventilation_method,max_size_cm,measure,median_depth,reproductive_mode,habitat_associated,notes
Etmopterus pusillus,Smooth lanternshark,Etmopteridae,Squaliformes,stationary,50.2,total_length,560,yolk-sac viviparity,demersal,
Etmopterus spinax,Velvet belly,Etmopteridae,Squaliformes,stationary,55,total_length,1280,yolk-sac viviparity,demersal,
Galeocerdo cuvier,Tiger shark,Carcharhinidae,Carcharhiniformes,ram,740,total_length,556,placental viviparity,coastal-pelagic,
Galeorhinus galeus,Tope shark,Triakidae,Carcharhiniformes,ram,199,total_length,400,yolk-sac viviparity,benthopelagic,
Galeus,Sawtail catsharks,Pentanchidae,Carcharhiniformes,stationary,,total_length,,oviparous,demersal,
Galeus melastomus,Blackmouth catshark,Pentanchidae,Carcharhiniformes,stationary,90,total_length,1027.5,oviparous,demersal,
Ginglymostoma cirratum,Nurse shark,Ginglymostomatidae,Orectolobiformes,stationary,308,total_length,65,oviparous,reef-associated,
Glaucostegus cemiculus,Blackchin guitarfish,Glaucostegidae,Rhinopristiformes,stationary,245,total_length,54.5,yolk-sac viviparity,demersal,
Glaucostegus granulatus,Granulated guitarfish,Glaucostegidae,Rhinopristiformes,stationary,280,total_length,62,yolk-sac viviparity,demersal,
Gymnura altavela,Spiny butterfly ray,Gymnuridae,Myliobatiformes,stationary,220,disk_width,250,histotrophy,coastal,
Gymnura micrura,Smooth butterfly ray,Gymnuridae,Myliobatiformes,stationary,120,disk_width,27.5,histotrophy,coastal,
Hemitriakis japanica,Japanese topeshark,Triakidae,Carcharhiniformes,stationary,120,total_length,50.5,yolk-sac viviparity,demersal,
Heptranchias perlo,Sharpnose sevengill shark,Hexanchidae,Hexanchiformes,ram,140,total_length,500,yolk-sac viviparity,bathydemersal,
Hexanchus griseus,Bluntnose sixgill shark,Hexanchidae,Hexanchiformes,ram,550,total_length,1245,yolk-sac viviparity,bathydemersal,
Himantura,,,,,,,,,,
Himantura gerrardi,,,,,,,,,,
Himantura uarnak,,,,,,,,,,
Isurus,Mako sharks,Lamnidae,Lamniformes,ram,,total_length,,oophagy,pelagic,
Isurus oxyrinchus,Shortfin mako,Lamnidae,Lamniformes,ram,445,total_length,375,oophagy,pelagic,
Isurus paucus,Longfin mako,Lamnidae,Lamniformes,ram,427,total_length,876,oophagy,pelagic,
Lamna nasus,Porbeagle,Lamnidae,Lamniformes,ram,365,total_length,904.5,oophagy,pelagic,
Lamnidae,Mackerel/white sharks,Lamnidae,Lamniformes,ram,,,,,,
Lamniformes,Mackerel sharks,,Lamniformes,ram,,total_length,,,,
Leptocharias smithii,Barbeled houndshark,Leptochariidae,Carcharhiniformes,stationary,82,total_length,42.5,placental viviparity,demersal,
Leucoraja circularis,Sandy ray,Rajidae,Rajiformes,stationary,120,total_length,405,oviparous,demersal,
Leucoraja erinacea,Little skate,Rajidae,Rajiformes,stationary,62,total_length,462,oviparous,demersal,
Leucoraja fullonica,Shagreen skate,Rajidae,Rajiformes,stationary,120,total_length,315,oviparous,bathydemersal,
Leucoraja naevus,Cuckoo ray,Rajidae,Rajiformes,stationary,81,total_length,456,oviparous,demersal,
