scientific_name,common_name.x,family,lifestage,gear_class,gear_type,fishery_type,target_fishery_species,target_fishery_common,flagstate,ocean,ocean_region,rfmo,location,habitat,estimate_type,estimate,sample_size,method,start_year,end_year,time_scale,ventilation_method,max_size_cm,measure,growth_rate_r,median_depth,geographic_range,reproductive_mode,median_temp,habitat_associated,reference,notes,reviewer,stock_code,spec_code,species_ref_no,fam_code,genus.x,species.x,f_bname.x,genus.y,species.y,f_bname.y,common_name.y
Carcharhinus acronotus,blacknose shark,Carcharhinidae,,gillnet,,research,,,,Atlantic,NW,,North Carolina,coastal,at-vessel mortality,0.813,67,visual,2000,2000,month,ram,164,total_length,,51.5,,placental viviparity,,reef-associated,Thorpe & Frierson 2009,,LF,,,,,Carcharhinus,acronotus,Blacknose shark,Carcharhinus,acronotus,Blacknose shark,blacknose shark
Carcharhinus limbatus,blacktip shark,Carcharhinidae,,gillnet,,research,,,,Atlantic,NW,,North Carolina,coastal,at-vessel mortality,0.905,78,visual,2000,2000,month,ram,286,total_length,,70,,placental viviparity,27,reef-associated,Thorpe & Frierson 2009,,LF,890,874,244,11,Carcharhinus,limbatus,Blacktip shark,Carcharhinus,limbatus,Blacktip shark,blacktip shark
Rhizoprionodon terraenovae,atlantic sharpnose shark,Carcharhinidae,,gillnet,,research,,,,Atlantic,NW,,North Carolina,coastal,at-vessel mortality,0.804,1061,visual,2000,2000,month,ram,113,total_length,,140,,placental viviparity,,demersal,Thorpe & Frierson 2009,,LF,,,,,Rhizoprionodon,terraenovae,Atlantic sharpnose shark,Rhizoprionodon,terraenovae,Atlantic sharpnose shark,atlantic sharpnose shark
Sphyrna tiburo,bonnethead shark,Sphyrnidae,,gillnet,,research,,,,Atlantic,NW,,North Carolina,coastal,at-vessel mortality,0.715,149,visual,2000,2000,month,ram,150,total_length,,45,,placental viviparity,,reef-associated,Thorpe & Frierson 2009,,LF,,,,,,,,Sphyrna,tiburo,Bonnethead,bonnethead
Notorynchus cepedianus,broadnose shark,Hexanchidae,,gillnet,,research,,,,Pacific,SW,,Australia,coastal,at-vessel mortality,0.332,202,visual,2007,2008,sporadic,ram,296,total_length,,285,,yolk-sac viviparity,17,demersal,Braccini et al 2012,data from fishery-independent survey,LF,2727,2531,247,5,,,,Notorynchus,cepedianus,Broadnose sevengill shark,broadnose sevengill shark
Squalus acanthias,spiny dogfish,Squalidae,,gillnet,,research,,,,Pacific,SW,,Australia,coastal,at-vessel mortality,0.135,52,visual,2007,2008,sporadic,stationary,200,total_length,,989,,yolk-sac viviparity,16,benthopelagic,Braccini et al 2012,data from fishery-independent survey,LF,153,139,85328,13,,,,Squalus,acanthias,Picked dogfish,picked dogfish
Squalus megalops,spikey dogfish,Squalidae,,gillnet,,research,,,,Pacific,SW,,Australia,coastal,at-vessel mortality,0.103,1178,visual,2007,2008,sporadic,stationary,89,total_length,,366,,yolk-sac viviparity,,demersal,Braccini et al 2012,data from fishery-independent survey,LF,,,,,,,,Squalus,megalops,Shortnose spurdog,shortnose spurdog
Pristiophorus nudipinnis,southern sawshark,Pristiophoridae,,gillnet,,research,,,,Pacific,SW,,Australia,coastal,at-vessel mortality,0.416,113,visual,2007,2008,sporadic,stationary,124,total_length,,82.5,,yolk-sac viviparity,,demersal,Braccini et al 2012,data from fishery-independent survey,LF,,,,,Pristiophorus,nudipinnis,Southern sawshark,Pristiophorus,nudipinnis,Southern sawshark,southern sawshark
Pristiophorus cirratus,common sawshark,Pristiophoridae,,gillnet,,research,,,,Pacific,SW,,Australia,coastal,at-vessel mortality,0.247,562,visual,2007,2008,sporadic,stationary,149,total_length,,335,,yolk-sac viviparity,,demersal,Braccini et al 2012,data from fishery-independent survey,LF,,,,,Pristiophorus,cirratus,Common sawshark,Pristiophorus,cirratus,Common sawshark,common sawshark
Squatina australis,australian angelshark,Squatinidae,,gillnet,,research,,,,Pacific,SW,,Australia,coastal,at-vessel mortality,0.25,56,visual,2007,2008,sporadic,stationary,152,total_length,,65,,yolk-sac viviparity,,demersal,Braccini et al 2012,data from fishery-independent survey,LF,,,,,Squatina,australis,Australian angelshark,Squatina,australis,Australian angelshark,australian angelshark
Heterodontus portusjacksoni,port jackson shark,Heterodontidae,,gillnet,,research,,,,Pacific,SW,,Australia,coastal,at-vessel mortality,0.08,1452,visual,2007,2008,sporadic,stationary,165,total_length,,87.5,,oviparous,,demersal,Braccini et al 2012,data from fishery-independent survey,LF,,,,,Heterodontus,portusjacksoni,Port Jackson shark,Heterodontus,portusjacksoni,Port Jackson shark,port jackson shark
Parascyllium ferrugineum,rusty carpetshark,Parascyllidae,,gillnet,,research,,,,Pacific,SW,,Australia,coastal,at-vessel mortality,0.125,24,visual,2007,2008,sporadic,stationary,81.5,total_length,,77.5,,oviparous,,demersal,Braccini et al 2012,data from fishery-independent survey,LF,,,,,Parascyllium,ferrugineum,Rusty carpetshark,Parascyllium,ferrugineum,Rusty carpetshark,rusty carpetshark
Cephaloscyllium laticeps,australian swellshark,Scyliorhinidae,,gillnet,,research,,,,Pacific,SW,,Australia,coastal,at-vessel mortality,0.05,1977,visual,2007,2008,sporadic,stationary,150,total_length,,30,,oviparous,,demersal,Braccini et al 2012,data from fishery-independent survey,LF,,,,,,,,Cephaloscyllium,laticeps,Draughtboard shark,draughtboard shark
Furgaleus macki,whiskery shark,Triakidae,,gillnet,,research,,,,Pacific,SW,,Australia,coastal,at-vessel mortality,0.928,223,visual,2007,2008,sporadic,ram,160,total_length,,113.5,,yolk-sac viviparity,,demersal,Braccini et al 2012,data from fishery-independent survey,LF,,,,,Furgaleus,macki,Whiskery shark,Furgaleus,macki,Whiskery shark,whiskery shark
Galeorhinus galeus,school shark,Triakidae,,gillnet,,research,,,,Pacific,SW,,Australia,coastal,at-vessel mortality,0.727,1361,visual,2007,2008,sporadic,ram,199,total_length,,400,,yolk-sac viviparity,18,benthopelagic,Braccini et al 2012,data from fishery-independent survey,LF,4830,4642,244,488,,,,Galeorhinus,galeus,Tope shark,tope shark
Mustelus antarcticus,gummy shark,Triakidae,,gillnet,,research,,,,Pacific,SW,,Australia,coastal,at-vessel mortality,0.569,3726,visual,2007,2008,sporadic,ram,185.2,total_length,,175.5,,yolk-sac viviparity,,demersal,Braccini et al 2012,data from fishery-independent survey,LF,,,,,,,,Mustelus,antarcticus,Gummy shark,gummy shark
Carcharhinus brachyurus,bronze whaler shark,Carcharhinidae,,gillnet,,research,,,,Pacific,SW,,Australia,coastal,at-vessel mortality,0.362,152,visual,2007,2008,sporadic,ram,322,total_length,,73,,placental viviparity,26,reef-associated,Braccini et al 2012,data from fishery-independent survey,LF,880,864,244,11,,,,Carcharhinus,brachyurus,Copper shark,copper shark
Sphyrna zygaena,smooth hammerhead shark,Sphyrnidae,,gillnet,,research,,,,Pacific,SW,,Australia,coastal,at-vessel mortality,0.893,122,visual,2007,2008,sporadic,ram,400,total_length,,100,,placental viviparity,26,pelagic,Braccini et al 2012,data from fishery-independent survey,LF,933,917,244,12,,,,Sphyrna,zygaena,Smooth hammerhead,smooth hammerhead
Myliobatis tenuicaudatus,southern eagle ray,Myliobatidae,,gillnet,,research,,,,Pacific,SW,,Australia,coastal,at-vessel mortality,0.53,133,visual,2007,2008,sporadic,stationary,160,disk_width,,211,,histotrophy,,benthopelagic,Braccini et al 2012,data from fishery-independent survey,LF,,,,,,,,Myliobatis,tenuicaudatus,Eagle ray,eagle ray
Carcharodon carcharias,great white shark,Lamnidae,,gillnet,,multispecies,"Paralichthys californicus, Atractoscion nobilis","california halibut, white sea bass",,Pacific,NE,,California,coastal,post-release mortality,0.071,28,satellite tag,2006,2012,sporadic,ram,594.4,total_length,,600,,oophagy,25,pelagic,Lyons et al 2013,,LF,767,751,247,9,Carcharodon,carcharias,Great white shark,Carcharodon,carcharias,Great white shark,great white shark
Carcharodon carcharias,great white shark,Lamnidae,,gillnet,,multispecies,"Paralichthys californicus, Atractoscion nobilis","california halibut, white sea bass",,Pacific,NE,,California,coastal,at-vessel mortality,0.44,87,visual,2006,2012,sporadic,ram,594.4,total_length,,600,,oophagy,25,pelagic,Lyons et al 2013,,LF,767,751,247,9,Carcharodon,carcharias,Great white shark,Carcharodon,carcharias,Great white shark,great white shark
Isurus oxyrinchus,shortfin mako shark,Lamnidae,,longline,,multispecies,tuna,,,Pacific,SW,,New Zealand,pelagic,at-vessel mortality,0.284,299,visual,1986,1998,sporadic,ram,445,total_length,,375,,oophagy,26,pelagic,Francis et al 2001,,LF,768,752,247,9,,,,Isurus,oxyrinchus,Shortfin mako,shortfin mako
Lamna nasus,porbeagle shark,Lamnidae,,longline,,multispecies,tuna,,,Pacific,SW,,New Zealand,pelagic,at-vessel mortality,0.392,2370,visual,1986,1998,sporadic,ram,365,total_length,,904.5,,oophagy,7.5,pelagic,Francis et al 2001,,LF,103,88,247,9,,,,Lamna,nasus,Porbeagle,porbeagle
Prionace glauca,blue shark,Carcharhinidae,,longline,,multispecies,tuna,,,Pacific,SW,,New Zealand,pelagic,at-vessel mortality,0.135,7838,visual,1986,1998,sporadic,ram,383.5,total_length,,500,,placental viviparity,25,pelagic,Francis et al 2001,,LF,914,898,244,11,Prionace,glauca,Blue shark,Prionace,glauca,Blue shark,blue shark
Alopias superciliosus,bigeye thresher shark,Alopiidae,,longline,,multispecies,,,,Atlantic,W,,USA and Caribbean,pelagic,at-vessel mortality,0.537,82,visual,1992,2002,annual,ram,484,total_length,,361.5,,oophagy,27,pelagic,Beerkircher et al 2004,,LF,2730,2534,247,486,,,,Alopias,superciliosus,Bigeye thresher,bigeye thresher
Isurus oxyrinchus,shortfin mako shark,Lamnidae,,longline,,multispecies,,,,Atlantic,W,,USA and Caribbean,pelagic,at-vessel mortality,0.35,80,visual,1992,2002,annual,ram,445,total_length,,375,,oophagy,26,pelagic,Beerkircher et al 2004,,LF,768,752,247,9,,,,Isurus,oxyrinchus,Shortfin mako,shortfin mako
Carcharhinus falciformis,silky shark,Carcharhinidae,,longline,,multispecies,,,,Atlantic,W,,USA and Caribbean,pelagic,at-vessel mortality,0.663,1446,visual,1992,2002,annual,ram,350,total_length,,250,,placental viviparity,27,reef-associated,Beerkircher et al 2004,,LF,884,868,244,11,Carcharhinus,falciformis,Silky shark,Carcharhinus,falciformis,Silky shark,silky shark
Carcharhinus longimanus,oceanic whitetip shark,Carcharhinidae,,longline,,multispecies,,,,Atlantic,W,,USA and Caribbean,pelagic,at-vessel mortality,0.275,131,visual,1992,2002,annual,ram,350,total_length,,541,,placental viviparity,28,pelagic,Beerkircher et al 2004,,LF,891,875,244,11,Carcharhinus,longimanus,Oceanic whitetip shark,Carcharhinus,longimanus,Oceanic whitetip shark,oceanic whitetip shark
Carcharhinus obscurus,dusky shark,Carcharhinidae,,longline,,multispecies,,,,Atlantic,W,,USA and Caribbean,pelagic,at-vessel mortality,0.487,679,visual,1992,2002,annual,ram,420,total_length,,250,,placental viviparity,26,reef-associated,Beerkircher et al 2004,,LF,894,878,244,11,Carcharhinus,obscurus,Dusky shark,Carcharhinus,obscurus,Dusky shark,dusky shark
Carcharhinus plumbeus,sandbar shark,Carcharhinidae,,longline,,multispecies,,,,Atlantic,W,,USA and Caribbean,pelagic,at-vessel mortality,0.268,112,visual,1992,2002,annual,ram,243,total_length,,140,,placental viviparity,27,benthopelagic,Beerkircher et al 2004,,LF,896,880,244,11,Carcharhinus,plumbeus,Sandbar shark,Carcharhinus,plumbeus,Sandbar shark,sandbar shark
Carcharhinus signatus,night shark,Carcharhinidae,,longline,,multispecies,,,,Atlantic,W,,USA and Caribbean,pelagic,at-vessel mortality,0.808,572,visual,1992,2002,annual,ram,280,total_length,,300,,placental viviparity,,benthopelagic,Beerkircher et al 2004,,LF,,,,,Carcharhinus,signatus,Night shark,Carcharhinus,signatus,Night shark,night shark
Galeocerdo cuvier,tiger shark,Carcharhinidae,,longline,,multispecies,,,,Atlantic,W,,USA and Caribbean,pelagic,at-vessel mortality,0.03,263,visual,1992,2002,annual,ram,740,total_length,,556,,placental viviparity,26,benthopelagic,Beerkircher et al 2004,,LF,902,886,244,791,Galeocerdo,cuvier,Tiger shark,Galeocerdo,cuvier,Tiger shark,tiger shark
Prionace glauca,blue shark,Carcharhinidae,,longline,,multispecies,,,,Atlantic,W,,USA and Caribbean,pelagic,at-vessel mortality,0.122,434,visual,1992,2002,annual,ram,383.5,total_length,,500,,placental viviparity,25,pelagic,Beerkircher et al 2004,,LF,914,898,244,11,Prionace,glauca,Blue shark,Prionace,glauca,Blue shark,blue shark
Sphyrna lewini,scalloped hammerhead shark,Sphyrnidae,,longline,,multispecies,,,,Atlantic,W,,USA and Caribbean,pelagic,at-vessel mortality,0.61,199,visual,1992,2002,annual,ram,430,total_length,,521.5,,placental viviparity,26,pelagic,Beerkircher et al 2004,,LF,928,912,244,12,,,,Sphyrna,lewini,Scalloped hammerhead,scalloped hammerhead
rays,,,,longline,,multispecies,,sharks,USA,Atlantic,W,,USA and Caribbean,pelagic,at-vessel mortality,0,113,visual,1992,2002,annual,stationary,,,,,,,,,Beerkircher et al 2004,,LF,,,,,,,,,,,
Carcharhinus limbatus,blacktip shark,Carcharhinidae,,longline,circle hooks,multispecies,,sharks,USA,Atlantic,NW,,Gulf of Mexico,pelagic,at-vessel mortality,0.88,1982,visual,1994,2005,annual,ram,286,total_length,,70,,placental viviparity,27,reef-associated,Morgan & Burgess 2007,some j hooks used as well,LF,890,874,244,11,Carcharhinus,limbatus,Blacktip shark,Carcharhinus,limbatus,Blacktip shark,blacktip shark
Carcharhinus obscurus,dusky shark,Carcharhinidae,,longline,circle hooks,multispecies,,sharks,USA,Atlantic,NW,,Gulf of Mexico,pelagic,at-vessel mortality,0.81,662,visual,1994,2005,annual,ram,420,total_length,,250,,placental viviparity,26,reef-associated,Morgan & Burgess 2007,some j hooks used as well,LF,894,878,244,11,Carcharhinus,obscurus,Dusky shark,Carcharhinus,obscurus,Dusky shark,dusky shark
Carcharhinus plumbeus,sandbar shark,Carcharhinidae,,longline,circle hooks,multispecies,,sharks,USA,Atlantic,NW,,Gulf of Mexico,pelagic,at-vessel mortality,0.36,8583,visual,1994,2005,annual,ram,243,total_length,,140,,placental viviparity,27,benthopelagic,Morgan & Burgess 2007,some j hooks used as well,LF,896,880,244,11,Carcharhinus,plumbeus,Sandbar shark,Carcharhinus,plumbeus,Sandbar shark,sandbar shark
Galeocerdo cuvier,tiger shark,Carcharhinidae,,longline,circle hooks,multispecies,,sharks,USA,Atlantic,NW,,Gulf of Mexico,pelagic,at-vessel mortality,0.085,2466,visual,1994,2005,annual,ram,740,total_length,,556,,placental viviparity,26,benthopelagic,Morgan & Burgess 2007,some j hooks used as well,LF,902,886,244,791,Galeocerdo,cuvier,Tiger shark,Galeocerdo,cuvier,Tiger shark,tiger shark
Sphyrna lewini,scalloped hammerhead shark,Sphyrnidae,,longline,circle hooks,multispecies,,sharks,USA,Atlantic,NW,,Gulf of Mexico,pelagic,at-vessel mortality,0.914,455,visual,1994,2005,annual,ram,430,total_length,,521.5,,placental viviparity,26,pelagic,Morgan & Burgess 2007,some j hooks used as well,LF,928,912,244,12,,,,Sphyrna,lewini,Scalloped hammerhead,scalloped hammerhead
Sphyrna mokarran,great hammerhead shark,Sphyrnidae,,longline,circle hooks,multispecies,,sharks,USA,Atlantic,NW,,Gulf of Mexico,pelagic,at-vessel mortality,0.938,178,visual,1994,2005,annual,ram,610,total_length,,150,,placental viviparity,,pelagic,Morgan & Burgess 2007,some j hooks used as well,LF,,,,,,,,Sphyrna,mokarran,Great hammerhead,great hammerhead
Carcharhinus acronotus,blacknose shark,Carcharhinidae,,longline,circle hooks,research,,,,Atlantic,NW,,Gulf of Mexico,coastal,at-vessel mortality,0.77,65,visual,2005,2007,annual,ram,164,total_length,,51.5,,placental viviparity,,reef-associated,Morgan & Carlson 2010,,LF,,,,,Carcharhinus,acronotus,Blacknose shark,Carcharhinus,acronotus,Blacknose shark,blacknose shark
Carcharhinus limbatus,blacktip shark,Carcharhinidae,,longline,circle hooks,research,,,,Atlantic,NW,,Gulf of Mexico,coastal,at-vessel mortality,0.85,165,visual,2005,2007,annual,ram,286,total_length,,70,,placental viviparity,27,reef-associated,Morgan & Carlson 2010,,LF,890,874,244,11,Carcharhinus,limbatus,Blacktip shark,Carcharhinus,limbatus,Blacktip shark,blacktip shark
Carcharhinus plumbeus,sandbar shark,Carcharhinidae,,longline,circle hooks,research,,,,Atlantic,NW,,Gulf of Mexico,coastal,at-vessel mortality,0.21,353,visual,2005,2007,annual,ram,243,total_length,,140,,placental viviparity,27,benthopelagic,Morgan & Carlson 2010,,LF,896,880,244,11,Carcharhinus,plumbeus,Sandbar shark,Carcharhinus,plumbeus,Sandbar shark,sandbar shark
Rhizoprionodon terraenovae,atlantic sharpnose shark,Carcharhinidae,,longline,circle hooks,research,,,,Atlantic,NW,,Gulf of Mexico,coastal,at-vessel mortality,0.91,118,visual,2005,2007,annual,ram,113,total_length,,140,,placental viviparity,,demersal,Morgan & Carlson 2010,,LF,,,,,Rhizoprionodon,terraenovae,Atlantic sharpnose shark,Rhizoprionodon,terraenovae,Atlantic sharpnose shark,atlantic sharpnose shark
Heptranchias perlo,sevengill shark,Lamnidae,,longline,,multispecies,,reef fish,,Atlantic,NW,,Gulf of Mexico,coastal,at-vessel mortality,0.242,33,visual,2006,2009,annual,ram,140,total_length,,500,,oophagy,25,bathydemersal,Scott-Denton et al 2011,,LF,652,636,247,5,,,,Heptranchias,perlo,Sharpnose sevengill shark,sharpnose sevengill shark
Squalus cubensis,dogfish,Squalidae,,longline,,multispecies,,reef fish,,Atlantic,NW,,Gulf of Mexico,coastal,at-vessel mortality,0.102,49,visual,2006,2009,annual,stationary,110,total_length,,370.5,,yolk-sac viviparity,,demersal,Scott-Denton et al 2011,,LF,,,,,,,,Squalus,cubensis,Cuban dogfish,cuban dogfish
Squalus sp,,Squalidae,,longline,,multispecies,,reef fish,,Atlantic,NW,,Gulf of Mexico,coastal,at-vessel mortality,0,2,visual,2006,2009,annual,stationary,,total_length,,,,yolk-sac viviparity,,,Scott-Denton et al 2011,,LF,,,,,,,,,,,
Centrophorus granulosus,,Centrophoridae,,longline,,multispecies,,reef fish,,Atlantic,NW,,Gulf of Mexico,coastal,at-vessel mortality,0,35,visual,2006,2009,annual,stationary,176,total_length,,775,,yolk-sac viviparity,24,bathydemersal,Scott-Denton et al 2011,,LF,664,648,247,558,,,,Centrophorus,granulosus,Gulper shark,gulper shark
Ginglymostoma cirratum,nurse shark,Ginglymostomatidae,,longline,,multispecies,,reef fish,,Atlantic,NW,,Gulf of Mexico,coastal,at-vessel mortality,0.613,163,visual,2006,2009,annual,stationary,308,total_length,,65,,yolk-sac viviparity,27,reef-associated,Scott-Denton et al 2011,,LF,2728,2532,247,493,Ginglymostoma,cirratum,Nurse shark,Ginglymostoma,cirratum,Nurse shark,nurse shark
Mustelus canis,,Triakidae,,longline,,multispecies,,reef fish,,Atlantic,NW,,Gulf of Mexico,coastal,at-vessel mortality,0.008,1279,visual,2006,2009,annual,ram,155,total_length,,404,,yolk-sac viviparity,26,demersal,Scott-Denton et al 2011,,LF,2735,2539,244,488,,,,Mustelus,canis,Dusky smooth-hound,dusky smooth-hound
Mustelus sp,,Triakidae,,longline,,multispecies,,reef fish,,Atlantic,NW,,Gulf of Mexico,coastal,at-vessel mortality,0,72,visual,2006,2009,annual,ram,,total_length,,,,yolk-sac viviparity,,,Scott-Denton et al 2011,,LF,,,,,,,,,,,
Carcharhinus acronotus,blacknose shark,Carcharhinidae,,longline,,multispecies,,reef fish,,Atlantic,NW,,Gulf of Mexico,coastal,at-vessel mortality,0.08,801,visual,2006,2009,annual,ram,164,total_length,,51.5,,placental viviparity,,reef-associated,Scott-Denton et al 2011,,LF,,,,,Carcharhinus,acronotus,Blacknose shark,Carcharhinus,acronotus,Blacknose shark,blacknose shark
Carcharhinus brevipinna,spinner shark,Carcharhinidae,,longline,,multispecies,,reef fish,,Atlantic,NW,,Gulf of Mexico,coastal,at-vessel mortality,0.038,26,visual,2006,2009,annual,ram,304,total_length,,100,,placental viviparity,,reef-associated,Scott-Denton et al 2011,,LF,,,,,Carcharhinus,brevipinna,Spinner shark,Carcharhinus,brevipinna,Spinner shark,spinner shark
Carcharhinus falciformis,silky shark,Carcharhinidae,,longline,,multispecies,,reef fish,,Atlantic,NW,,Gulf of Mexico,coastal,at-vessel mortality,0.266,94,visual,2006,2009,annual,ram,350,total_length,,250,,placental viviparity,27,reef-associated,Scott-Denton et al 2011,,LF,884,868,244,11,Carcharhinus,falciformis,Silky shark,Carcharhinus,falciformis,Silky shark,silky shark
Carcharhinus leucas,bull shark,Carcharhinidae,,longline,,multispecies,,reef fish,,Atlantic,NW,,Gulf of Mexico,coastal,at-vessel mortality,0.023,43,visual,2006,2009,annual,ram,366,total_length,,82.5,,placental viviparity,,reef-associated,Scott-Denton et al 2011,,LF,,,,,Carcharhinus,leucas,Bull shark,Carcharhinus,leucas,Bull shark,bull shark
Carcharhinus limbatus,blacktip shark,Carcharhinidae,,longline,,multispecies,,reef fish,,Atlantic,NW,,Gulf of Mexico,coastal,at-vessel mortality,0.23,87,visual,2006,2009,annual,ram,286,total_length,,70,,placental viviparity,27,reef-associated,Scott-Denton et al 2011,,LF,890,874,244,11,Carcharhinus,limbatus,Blacktip shark,Carcharhinus,limbatus,Blacktip shark,blacktip shark
Carcharhinus plumbeus,sandbar shark,Carcharhinidae,,longline,,multispecies,,reef fish,,Atlantic,NW,,Gulf of Mexico,coastal,at-vessel mortality,0.034,59,visual,2006,2009,annual,ram,243,total_length,,140,,placental viviparity,27,benthopelagic,Scott-Denton et al 2011,,LF,896,880,244,11,Carcharhinus,plumbeus,Sandbar shark,Carcharhinus,plumbeus,Sandbar shark,sandbar shark
Carcharhinus porosus,smalltail shark,Carcharhinidae,,longline,,multispecies,,reef fish,,Atlantic,NW,,Gulf of Mexico,coastal,at-vessel mortality,0,48,visual,2006,2009,annual,ram,150,total_length,,42,,placental viviparity,,demersal,Scott-Denton et al 2011,Identification is probably wrong,LF,,,,,Carcharhinus,porosus,Smalltail shark,Carcharhinus,porosus,Smalltail shark,smalltail shark
Galeocerdo cuvier,tiger shark,Carcharhinidae,,longline,,multispecies,,reef fish,,Atlantic,NW,,Gulf of Mexico,coastal,at-vessel mortality,0.09,102,visual,2006,2009,annual,ram,740,total_length,,556,,placental viviparity,26,benthopelagic,Scott-Denton et al 2011,,LF,902,886,244,791,Galeocerdo,cuvier,Tiger shark,Galeocerdo,cuvier,Tiger shark,tiger shark
Negaprion brevirostris,lemon shark,Carcharhinidae,,longline,,multispecies,,reef fish,,Atlantic,NW,,Gulf of Mexico,coastal,at-vessel mortality,0.019,157,visual,2006,2009,annual,ram,368,total_length,,60,,placental viviparity,27,reef-associated,Scott-Denton et al 2011,,LF,913,897,244,11,Negaprion,brevirostris,Lemon shark,Negaprion,brevirostris,Lemon shark,lemon shark
Rhizoprionodon terraenovae,atlantic sharpnose shark,Carcharhinidae,,longline,,multispecies,,reef fish,,Atlantic,NW,,Gulf of Mexico,coastal,at-vessel mortality,0.191,2090,visual,2006,2009,annual,ram,113,total_length,,140,,placental viviparity,,demersal,Scott-Denton et al 2011,,LF,,,,,Rhizoprionodon,terraenovae,Atlantic sharpnose shark,Rhizoprionodon,terraenovae,Atlantic sharpnose shark,atlantic sharpnose shark
Sphyrna lewini,scalloped hammerhead shark,Sphyrnidae,,longline,,multispecies,,reef fish,,Atlantic,NW,,Gulf of Mexico,coastal,at-vessel mortality,0.193,73,visual,2006,2009,annual,ram,430,total_length,,521.5,,placental viviparity,26,pelagic,Scott-Denton et al 2011,,LF,928,912,244,12,,,,Sphyrna,lewini,Scalloped hammerhead,scalloped hammerhead
Rostroraja eglanteria,clearnose skate,Rajidae,,longline,,multispecies,,reef fish,,Atlantic,NW,,Gulf of Mexico,coastal,at-vessel mortality,0.04,50,visual,2006,2009,annual,stationary,84,total_length,,164.5,,oviparous,,demersal,Scott-Denton et al 2011,,LF,,,,,Rostroraja,eglanteria,Clearnose skate,Rostroraja,eglanteria,Clearnose skate,clearnose skate
Ginglymostoma cirratum,nurse shark,Ginglymostomatidae,,handline,vertical line,multispecies,,reef fish,,Atlantic,NW,,Gulf of Mexico,coastal,post-release mortality,0.061,33,visual,2006,2009,annual,stationary,308,total_length,,65,,yolk-sac viviparity,27,reef-associated,Scott-Denton et al 2011,Estimated by the state in which discarded specimens were classified by observers,LF,2728,2532,247,493,Ginglymostoma,cirratum,Nurse shark,Ginglymostoma,cirratum,Nurse shark,nurse shark
Mustelus canis,,Triakidae,,handline,vertical line,multispecies,,reef fish,,Atlantic,NW,,Gulf of Mexico,coastal,post-release mortality,0.125,35,visual,2006,2009,annual,ram,155,total_length,,404,,yolk-sac viviparity,26,demersal,Scott-Denton et al 2011,Estimated by the state in which discarded specimens were classified by observers,LF,2735,2539,244,488,,,,Mustelus,canis,Dusky smooth-hound,dusky smooth-hound
Carcharhinus acronotus,blacknose shark,Carcharhinidae,,handline,vertical line,multispecies,,reef fish,,Atlantic,NW,,Gulf of Mexico,coastal,at-vessel mortality,0.031,32,visual,2006,2009,annual,ram,164,total_length,,51.5,,placental viviparity,,reef-associated,Scott-Denton et al 2011,Estimated by the state in which discarded specimens were classified by observers,LF,,,,,Carcharhinus,acronotus,Blacknose shark,Carcharhinus,acronotus,Blacknose shark,blacknose shark
Carcharhinus falciformis,silky shark,Carcharhinidae,,handline,vertical line,multispecies,,reef fish,,Atlantic,NW,,Gulf of Mexico,coastal,post-release mortality,0.014,71,visual,2006,2009,annual,ram,350,total_length,,250,,placental viviparity,27,reef-associated,Scott-Denton et al 2011,Estimated by the state in which discarded specimens were classified by observers,LF,884,868,244,11,Carcharhinus,falciformis,Silky shark,Carcharhinus,falciformis,Silky shark,silky shark
Carcharhinus limbatus,blacktip shark,Carcharhinidae,,handline,vertical line,multispecies,,reef fish,,Atlantic,NW,,Gulf of Mexico,coastal,post-release mortality,0.158,39,visual,2006,2009,annual,ram,286,total_length,,70,,placental viviparity,27,reef-associated,Scott-Denton et al 2011,Estimated by the state in which discarded specimens were classified by observers,LF,890,874,244,11,Carcharhinus,limbatus,Blacktip shark,Carcharhinus,limbatus,Blacktip shark,blacktip shark
Rhizoprionodon terraenovae,atlantic sharpnose shark,Carcharhinidae,,handline,vertical line,multispecies,,reef fish,,Atlantic,NW,,Gulf of Mexico,coastal,post-release mortality,0.076,83,visual,2006,2009,annual,ram,113,total_length,,140,,placental viviparity,,demersal,Scott-Denton et al 2011,Estimated by the state in which discarded specimens were classified by observers,LF,,,,,Rhizoprionodon,terraenovae,Atlantic sharpnose shark,Rhizoprionodon,terraenovae,Atlantic sharpnose shark,atlantic sharpnose shark
Pseudocarcharias kamoharai,crocodyle shark,Pseudocarchariidae,,longline,,multispecies,,tuna,Marshall Islands,Pacific,SW,,Marshall Islands,pelagic,at-vessel mortality,0.387,139,visual,2005,2009,annual,ram,122,total_length,,295,,oophagy,,pelagic,Bromhead et al 2012,,LF,,,,,,,,Pseudocarcharias,kamoharai,Crocodile shark,crocodile shark
Alopias pelagicus,pelagic thresher shark,Alopiidae,,longline,,multispecies,,tuna,Marshall Islands,Pacific,SW,,Marshall Islands,pelagic,at-vessel mortality,0.638,1353,visual,2005,2009,annual,ram,428,total_length,,150,,oophagy,,pelagic,Bromhead et al 2012,,LF,,,,,,,,Alopias,pelagicus,Pelagic thresher,pelagic thresher
