SciName,r_fin
Trachinotus blochii,0.8428354635
Trisopterus luscus,0.8805530212
Umbrina cirrosa,0.4341112708
Lethrinus mahsena,0.3224041932
Alopias superciliosus,0.07739734915
Alopias vulpinus,0.04730396346
Antimora rostrata,0.11723796
Argentina silus,0.07340039175
Dasyatis pastinaca,0.5268332713
Ginglymostoma cirratum,0.07218341665
Gymnura altavela,0.3290128167
Pseudophycis bachus,0.2014825287
Atractoscion nobilis,0.2966164356
Caulolatilus princeps,0.3606394187
Citharichthys sordidus,0.9494784829
Hyperoglyphe bythites,0.2918901765
Malacanthus plumieri,0.4016391233
Paralichthys californicus,0.6863461188
Rachycentron canadum,0.4438852599
Semicossyphus pulcher,0.7074505784
Taractichthys steindachneri,0.4698870336
Tautogolabrus adspersus,0.5421393833
Trachipterus arcticus,0.142305137
Myliobatis aquila,0.2375474546
Carangoides malabaricus,1.1685438
Epinephelus fuscoguttatus,0.2696014107
Epinephelus tauvina,0.1870764978
Gnathanodon speciosus,0.7060493846
Diagramma pictum,0.5151275043
Acanthopagrus bifasciatus,0.4867076902
Sillago sihama,0.7128324453
Megalops atlanticus,0.1498818096
Nemipterus japonicus,1.261848147
Miichthys miiuy,0.5621381244
Xyrichtys novacula,0.6510452445
Lateolabrax japonicus,0.2803797632
Galeorhinus galeus,0.04309588951
Pomadasys jubelini,0.7534080328
Acanthurus sohal,0.5303693121
Otolithes ruber,0.865438668
Plectropomus leopardus,0.2621369961
Spicara maena,0.6607016047
Epinephelus goreensis,0.2867601077
Mustelus mustelus,0.1318871295
Pontinus kuhlii,0.2817801514
Promethichthys prometheus,0.2825667998
Epinephelus morrhua,0.2709806267
Variola louti,0.375052579
Alosa fallax,0.8061810569
Epinephelus areolatus,0.3225494767
Rhynchobatus djiddensis,0.2048109371
Chelidonichthys capensis,0.2773189218
Epinephelus chlorostigma,0.314979131
Acanthopagrus berda,0.5477488469
Cymatoceps nasutus,0.1892966887
Bolbometopon muricatum,0.2368272614
Mulloidichthys flavolineatus,0.798341841
Gerres oyena,1.594337758
Pomadasys kaakan,0.6269470459
Acanthopagrus latus,0.4187558853
Chirocentrus dorab,0.4013752968
Pagrus auratus,0.212995064
Aethaloperca rogaa,0.3928226144
Cephalopholis boenak,0.477019133
Cephalopholis hemistiktos,0.3690721733
Cephalopholis miniata,0.4531647407
Cromileptes altivelis,0.151702421
Epinephelus marginatus,0.1100746736
Saurida tumbil,0.4760430139
Sargocentron spiniferum,1.094233812
Bathyraja eatonii,0.1161877415
Lepidonotothen squamifrons,0.233506431
Macrourus carinatus,0.1309087931
Macrourus whitsoni,0.1309087931
Epinephelus multinotatus,0.2729522832
Epinephelus summana,0.2867601077
Micropogonias furnieri,0.5413105935
Plectorhinchus sordidus,0.5496609272
Plectorhinchus gaterinus,0.4471099103
Plectorhinchus schotaf,0.4471099103
Pomadasys stridens,0.7789715934
Pomacanthus maculosus,0.2045469839
Crenidens crenidens,0.5189877956
Pelates quadrilineatus,0.8141525961
Rhabdosargus haffara,0.5607645789
Odontesthes regia,0.6455902272
Plectorhinchus pictus,0.2886031991
Callorhinchus callorynchus,0.1667172616
Cephalopholis fulva,0.4345856379
Netuma thalassinus,0.31
Patagonotothen ramsayi,0.4714203557
Tragulichthys jaculiferus,0.8240404736
Paristiopterus labiosus,0.5663208742
Prolatilus jugularis,0.636895363
Liza haematocheila,0.29332534
Sparisoma cretense,0.4855992205
